PM I01433+0419   Gl 70       25.83414   4.32176  0.54220 0.00560 3458 60 0.4140 0.0170 0.4010 0.0400 -0.13 0.08 M2.5   12.449 0.021 10.931 0.016  9.868 0.013  8.569 0.020 11.752 0.021 10.337 0.011  9.253 0.012  8.700 0.013  7.393 0.017  6.800 0.017  6.537 0.020 10.210 0.014 11.350 0.014  8.834 0.014  0.54220 0.00840 3578 29 0.3850 0.0110 0.4090 0.0130 9.46 0.59  6.824
PM I01510-0607   GJ 3119     27.76688  -6.11799  0.07207 0.00082 3011 61 0.1731 0.0078 0.1320 0.0130 -0.03 0.08 M5.1   16.301 0.029 14.444 0.020 12.986 0.013 11.111 0.020 15.410 0.028 13.783 0.012 11.979 0.013 10.988 0.013  9.408 0.017  8.856 0.017  8.553 0.020 13.051 0.014 14.912 0.014 11.394 0.014  0.07210 0.00130 3089 29 0.1640 0.0040 0.1380 0.0040 9.35 0.59  3.117
PM I01528-2226   Gl 79       28.20476 -22.43486  2.11700 0.02000 3900 60 0.6200 0.0210 0.6540 0.0650  0.14 0.08 M0.2   10.330 0.020  8.929 0.016  7.976 0.012  7.015 0.020  9.697 0.020  8.318 0.011  7.611 0.013  7.218 0.013  6.055 0.017  5.415 0.017  5.202 0.020  8.426 0.014  9.306 0.014  7.220 0.014  2.11700 0.03000 3987 39 0.5930 0.0120 0.6290 0.0150 9.49 0.50  3.900
PM I02002+1303   Gl 83.1     30.05402  13.05196  0.42750 0.00660 3080 60 0.1870 0.0100 0.1440 0.0140 -0.16 0.08 M4.9   14.078 0.021 12.285 0.016 10.857 0.012  9.068 0.020 13.228 0.021 11.594 0.011  9.910 0.013  8.990 0.013  7.497 0.017  6.949 0.017  6.688 0.020 10.979 0.014 12.724 0.014  9.356 0.014  0.42750 0.00980 3165 31 0.1740 0.0070 0.1520 0.0090 9.34 0.62  3.533
PM I02123+0334   Gl 87       33.08770   3.57588  0.91240 0.00740 3638 62 0.4430 0.0170 0.4400 0.0440 -0.36 0.08 M1.5   11.488 0.020 10.062 0.016  9.085 0.012  7.944 0.020 10.848 0.020  9.482 0.011  8.596 0.013  8.090 0.013  6.858 0.017  6.312 0.017  6.124 0.020  9.472 0.014 10.461 0.014  8.179 0.014  0.91200 0.01200 3721 35 0.4210 0.0110 0.4480 0.0120 9.44 0.57  3.479
PM I02129+0000W  GJ 3142     33.22742   0.00466  0.10600 0.00140 3257 60 0.2770 0.0140 0.2510 0.0250  0.09 0.08 M4.1   15.220 0.022 13.535 0.017 12.204 0.013 10.527 0.020 14.430 0.022 12.883 0.011 11.329 0.013 10.500 0.013  9.054 0.017  8.489 0.017  8.165 0.020 12.385 0.014 13.968 0.014 10.814 0.014  0.10600 0.00200 3321 33 0.2660 0.0110 0.2560 0.0130 9.40 0.60  1.818
PM I02164+1335   GJ 3146     34.12439  13.58685  0.04532 0.00054 2829 60 0.1447 0.0091 0.1030 0.0100 -0.03 0.08 M6.1   17.741 0.025 15.758 0.018 14.002 0.013 11.837 0.020 16.734 0.024 15.072 0.011 12.811 0.013 11.559 0.013  9.858 0.017  9.316 0.017  8.988 0.020 13.868 0.014 16.243 0.014 12.097 0.014  0.04532 0.00092 2899 48 0.1350 0.0060 0.1090 0.0060 9.41 0.58  2.477
PM I02171+3526   GJ 3147     34.29176  35.44235  0.04153 0.00063 2880 60 0.1502 0.0067 0.1130 0.0110  0.17 0.08 M5.8   17.700 0.040 15.850 0.040 14.205 0.013 12.103 0.020 16.527 0.025 15.205 0.040 13.063 0.013 11.811 0.014  9.974 0.017  9.352 0.017  9.007 0.020 14.085 0.014 16.181 0.014 12.344 0.014  0.04153 0.00099 2919 26 0.1450 0.0030 0.1170 0.0020 9.39 0.61  0.939
PM I02190+2352   GJ 3150     34.75973  23.88192  0.05432 0.00084 3216 60 0.2730 0.0150 0.2350 0.0230 -0.07 0.08 M4.4   15.934 0.023 14.127 0.017 12.810 0.013 11.193 0.020 15.137 0.023 13.438 0.011 11.971 0.013 11.208 0.013  9.798 0.017  9.219 0.017  8.941 0.020 13.033 0.014 14.570 0.014 11.484 0.014  0.05430 0.00120 3342 33 0.2510 0.0120 0.2400 0.0150 9.37 0.62  6.819
PM I02222+4752   Gl 96       35.56097  47.88002  1.49000 0.01600 3785 62 0.5990 0.0210 0.6140 0.0610  0.14 0.08 M0.7   10.848 0.021  9.413 0.016  8.446 0.013  7.427 0.020 10.196 0.021  8.806 0.011  8.036 0.013  7.611 0.013  6.392 0.017  5.738 0.017  5.563 0.020  8.878 0.014  9.802 0.014  7.640 0.014  1.49000 0.02300 3892 38 0.5660 0.0120 0.6000 0.0130 9.48 0.54  5.412
