   1.01| |  2.470613200|0.000000100|0.124320|0.000080|12.89 |0.27 |0.03504|0.00062| 773. 
   2.01| |  2.204735400|0.000000100|0.075450|0.000020|16.39 |0.15 |0.03812|0.00030|3983. 
   5.01| |  4.7803287  |0.0000030  |0.03651 |0.00026 | 6.96 |0.17 |0.0579 |0.0011 | 897. 
   5.02| |  7.05186    |0.00028    |0.00428 |0.00038 | 0.816|0.075|0.0750 |0.0014 | 534. 
   7.01| |  3.2136641  |0.0000042  |0.026920|0.000070| 4.50 |0.12 |0.04389|0.00098|1223. 
  41.01| | 12.815735   |0.000053   |0.015440|0.000100| 2.511|0.062|0.1100 |0.0021 | 190. 
  41.02| |  6.887099   |0.000062   |0.00918 |0.00016 | 1.493|0.044|0.0727 |0.0014 | 434. 
  41.03| | 35.33314    |0.00063    |0.01042 |0.00030 | 1.694|0.063|0.2162 |0.0042 |  49. 
  42.01| | 17.834381   |0.000031   |0.018250|0.000100| 2.710|0.039|0.1436 |0.0017 | 129. 
  64.01| |  1.9510914  |0.0000040  |0.04015 |0.00093 |10.68 |0.40 |0.03302|0.00078|3864. 
  69.01| |  4.7267482  |0.0000052  |0.01575 |0.00011 | 1.583|0.037|0.0534 |0.0011 | 276. 
  72.01| |  0.8374903  |0.0000015  |0.012650|0.000070| 1.458|0.030|0.01676|0.00037|3574. 
  72.02| | 45.29404    |0.00020    |0.02014 |0.00013 | 2.321|0.049|0.2397 |0.0054 |  17. 
  75.01| |105.88531    |0.00033    |0.039310|0.000080|10.84 |0.25 |0.4817 |0.0083 |  30. 
  85.01| |  5.859933   |0.000011   |0.018040|0.000080| 2.803|0.049|0.0689 |0.0011 | 555. 
  85.02| |  2.1549189  |0.0000083  |0.009710|0.000090| 1.509|0.029|0.03539|0.00057|2106. 
  85.03| |  8.131146   |0.000051   |0.01081 |0.00014 | 1.680|0.036|0.0858 |0.0014 | 358. 
  87.01| |289.8622     |0.0018     |0.0226  |0.0016  | 2.42 |0.18 |0.849  |0.017  |   1.2
  97.01| |  4.88548920 |0.00000090 |0.082840|0.000030|17.74 |0.59 |0.0618 |0.0014 |1195. 
  98.01| |  6.7901235  |0.0000036  |0.056080|0.000050|12.70 |0.43 |0.0783 |0.0018 |1042. 
 107.01| |  7.256999   |0.000019   |0.02228 |0.00011 | 3.86 |0.15 |0.0780 |0.0020 | 438. 
 108.01| | 15.965349   |0.000047   |0.02224 |0.00014 | 3.484|0.096|0.1279 |0.0027 | 132. 
 108.02| |179.6010     |0.0012     |0.03371 |0.00017 | 5.28 |0.14 |0.642  |0.013  |   5.2
 117.01| | 14.749102   |0.000076   |0.02271 |0.00016 | 3.50 |0.12 |0.1230 |0.0025 | 139. 
 117.02| |  4.901467   |0.000039   |0.01321 |0.00020 | 2.034|0.074|0.0590 |0.0012 | 602. 
 117.03| |  3.179962   |0.000025   |0.01222 |0.00019 | 1.882|0.069|0.04423|0.00088|1071. 
 117.04| |  7.95792    |0.00017    |0.00833 |0.00038 | 1.283|0.072|0.0815 |0.0016 | 315. 
 118.01| | 24.99334    |0.00019    |0.01656 |0.00024 | 2.453|0.080|0.1686 |0.0039 |  64. 
 119.01| | 49.18431    |0.00013    |0.037540|0.000090| 8.98 |0.50 |0.2923 |0.0063 |  59. 
 119.02| |190.3134     |0.0020     |0.03297 |0.00020 | 7.89 |0.44 |0.720  |0.016  |   9.8
 122.01| | 11.523063   |0.000028   |0.02342 |0.00020 | 3.62 |0.10 |0.1026 |0.0024 | 180. 
 123.01| |  6.481674   |0.000018   |0.01686 |0.00015 | 2.434|0.071|0.0689 |0.0014 | 415. 
 123.02| | 21.222534   |0.000093   |0.01734 |0.00016 | 2.503|0.073|0.1520 |0.0032 |  85. 
 168.01| | 10.742491   |0.000063   |0.02049 |0.00018 | 3.46 |0.11 |0.0977 |0.0023 | 260. 
 168.02| | 15.27448    |0.00019    |0.01376 |0.00029 | 2.325|0.088|0.1235 |0.0029 | 163. 
 168.03| |  7.10690    |0.00012    |0.01111 |0.00033 | 1.877|0.081|0.0742 |0.0018 | 451. 
 244.01| | 12.7203650  |0.0000070  |0.03583 |0.00017 | 5.117|0.095|0.1129 |0.0019 | 186. 
 244.02| |  6.2385593  |0.0000075  |0.018690|0.000090| 2.669|0.050|0.0702 |0.0012 | 482. 
 245.01| | 39.792196   |0.000052   |0.02513 |0.00033 | 2.117|0.077|0.2120 |0.0060 |  10. 
 245.02| | 21.30185    |0.00013    |0.00949 |0.00017 | 0.799|0.030|0.1398 |0.0039 |  24. 
 245.03| | 13.36726    |0.00031    |0.00422 |0.00027 | 0.356|0.026|0.1025 |0.0029 |  44. 
 246.01| |  5.3987665  |0.0000071  |0.018690|0.000080| 2.535|0.040|0.06178|0.00097| 409. 
 257.01| |  6.883403   |0.000012   |0.02052 |0.00015 | 2.661|0.054|0.0748 |0.0011 | 331. 
 260.01| | 10.495678   |0.000075   |0.01125 |0.00015 | 1.667|0.037|0.0994 |0.0017 | 254. 
 260.02| |100.28319    |0.00085    |0.01925 |0.00016 | 2.852|0.057|0.4474 |0.0074 |  13. 
 262.01| |  7.812512   |0.000052   |0.01074 |0.00015 | 1.856|0.045|0.0832 |0.0016 | 489. 
 262.02| |  9.376137   |0.000056   |0.01362 |0.00030 | 2.354|0.069|0.0940 |0.0018 | 383. 
 263.01| | 20.71936    |0.00019    |0.01315 |0.00034 | 2.259|0.081|0.1498 |0.0031 | 111. 
 268.01| |110.37908    |0.00084    |0.02011 |0.00015 | 2.997|0.061|0.4826 |0.0076 |  12. 
 269.01| | 18.01134    |0.00022    |0.01074 |0.00019 | 1.696|0.043|0.1475 |0.0021 | 151. 
