 319| 8684730|12.71| 962. | 39. | 51.7 |1.9 |1.201| 9|SC| 5.9|0.5| 32|0.885| 2|T  |         |
 370| 8494142|11.93|1133. | 81. | 61.80|0.76|1.166|15|SC| 8.9|0.5| 29|0.835| 2|T  |         |
 371| 5652983|12.19|      |     | 29.27|0.36|1.196|15|SC| 3.1|0.6| 22|0.866| 2|T  |         |
 623|12068975|11.81|2298. |105. |108.4 |3.1 |1.048|15|SC| 2.6|0.5| 33|0.847| 3|T  |         |
 674| 7277317|13.78| 533. | 15. | 33.00|0.72|1.254| 6|SC| 1.6|0.5| 54|0.972| 1|H  |         |
 974| 9414417| 9.58|1115. | 32. | 60.05|0.27|1.636|16|SC| 9.3|0.5| 55|0.953| 2|T  |         |
 975| 3632418| 8.22|1153. | 32. | 60.86|0.55|     | 1|SC|    |   |   |     |  |   |Kepler-21|i
 981| 8607720|10.73| 159.0|  2.4| 12.86|0.06|2.864|31|LC| 2.0|0.5| 54|0.964| 5|FT |         |
1019| 8179973|10.27| 341.8|  6.4| 22.93|0.13|4.575|16|SC| 2.2|0.5| 93|0.979| 4|HMT|         |
1054| 6032981|11.90|  35.1|  0.6|      |    |2.697|31|LC| 7.3|0.5| 24|0.881| 3|M  |         |
1221| 3640905|11.58| 500.7|  7.0| 30.63|0.20|3.201| 9|SC| 2.5|0.5| 32|0.945| 2|T  |         |
1222| 4060815|12.20| 333. | 11. | 22.33|0.56|4.676| 1|SC| 2.6|0.5| 25|0.923| 2|T  |         |
1230| 6470149|12.26| 118.2|  3.7|  9.59|0.04|1.591|31|LC| 3.3|0.5| 22|0.903| 1|T  |         |
1241| 6448890|12.44| 244.3|  3.4| 17.40|0.24|     |31|LC|    |   |   |     |  |   |Kepler-56|j
1282| 8822366|12.55|      |     | 71.3 |1.9 |1.069| 9|SC| 7.2|0.5| 29|0.873| 2|T  |         |
1299|10864656|12.18| 259.5|  4.3| 18.53|0.17|3.696| 9|SC| 2.7|0.5| 32|0.940|10|FT |         |
1314|10585852|13.24| 352.1|  6.9| 23.42|0.23|1.868| 9|SC| 2.2|0.5| 25|0.935| 2|MT |         |
1537| 9872292|11.74|      |     | 63.8 |1.2 |1.135| 9|SC| 9.6|0.7| 23|0.810| 2|M  |         |
1612|10963065| 8.77|2193. | 48. |103.20|0.63|1.571|16|SC| 3.4|0.5|180|0.990| 4|HT |         |
1613| 6268648|11.05|      |     | 88.9 |2.0 |1.105| 3|SC|10.6|0.7| 28|0.811| 2|T  |         |
1618| 7215603|11.60|      |     | 82.4 |1.1 |1.107| 7|SC|11.7|0.5| 28|0.871| 2|T  |         |
1621| 5561278|11.86|1023. | 36. | 56.2 |1.7 |1.177| 6|SC| 6.4|0.5| 39|0.936| 1|T  |         |
1890| 7449136|11.70|      |     | 76.4 |1.4 |1.104| 4|SC| 7.8|0.5| 41|0.936| 2|FM |         |
1894|11673802|13.43|      |     | 21.76|0.38|1.338|31|LC| 2.8|0.5| 22|0.942| 1|T  |         |
1924| 5108214| 7.84| 703. | 35. | 41.34|0.67|3.125| 3|SC| 4.8|0.5|187|0.990| 6|FHM|         |
1925| 9955598| 9.44|3546. |119. |153.18|0.14|1.058|22|SC| 1.6|0.5|208|0.985| 4|FH |         |
1930| 5511081|12.12|      |     | 63.3 |3.4 |1.121| 3|SC| 4.3|0.5| 32|0.932| 2|FM |         |
1962| 5513648|10.77|      |     | 78.6 |3.7 |1.106| 3|SC| 3.9|0.5| 41|0.926| 3|FMT|         |
2133| 8219268|12.49| 108.9|  3.0|  9.39|0.22|5.393|31|LC| 3.2|0.5| 21|0.918| 3|T  |         |
2481| 4476423|13.61|  51.2|  1.6|  5.09|0.12|4.626|13|LC| 5.9|1.3| 13|0.707| 1|M  |         |
2545| 9696358|11.75|      |     | 51.4 |3.7 |1.388| 1|SC| 8.9|0.5| 29|0.941| 1|M  |         |
2640| 9088780|13.23|  76.7|  1.3|  7.46|0.09|5.433|16|LC| 2.0|0.5| 56|0.981| 1|H  |         |
