 974 | 9414417|6253| 75|-0.13|0.10|0.2783  |0.0025  | 1.851|0.044|1.270|0.086|         |
 975 | 3632418|6131| 44|-0.15|0.06|0.2886  |0.0087  | 1.860|0.020|1.340|0.010|Kepler-21|i
 981 | 8607720|5066| 75|-0.33|0.10|0.01275 |0.00011 | 5.324|0.107|1.372|0.073|         |
1019 | 8179973|5009| 75|-0.02|0.10|0.04057 |0.00047 | 3.585|0.090|1.327|0.094|         |
1054*| 6032981|5254| 97|-0.94|0.16|        |        |      |     |     |     |         |
1221 | 3640905|4991| 75|+0.28|0.10|0.07240 |0.00094 | 2.935|0.066|1.298|0.076|         |
1222 | 4060815|5055| 75|-0.07|0.10|0.0385  |0.0019  | 3.733|0.176|1.429|0.162|         |
1230 | 6470149|5015| 97|-0.21|0.16|0.007091|0.000067| 7.062|0.258|1.782|0.193|         |
1241 | 6448890|4840| 97|+0.20|0.16|0.02460 |0.00060 | 4.230|0.150|1.320|0.130|Kepler-56|j
1282 | 8822366|6034| 92|-0.14|0.10|0.392   |0.021   | 1.592|0.050|1.120|0.083|         |
1299 |10864656|4995| 78|-0.07|0.10|0.02650 |0.00049 | 4.160|0.120|1.353|0.101|         |
1314 |10585852|5048| 75|-0.03|0.10|0.04233 |0.00082 | 3.549|0.104|1.345|0.102|         |
1537 | 9872292|6260|116|+0.10|0.11|0.314   |0.011   | 1.824|0.049|1.366|0.101|         |
1612 |10963065|6104| 74|-0.20|0.10|0.822   |0.010   | 1.225|0.027|1.079|0.069|         |
1613 | 6268648|6044|117|-0.24|0.11|0.609   |0.028   | 1.327|0.041|1.008|0.080|         |
1618 | 7215603|6173| 93|+0.17|0.10|0.524   |0.013   | 1.506|0.035|1.270|0.082|         |
1621 | 5561278|6081| 75|-0.03|0.10|0.244   |0.014   | 1.954|0.064|1.294|0.093|         |
1890 | 7449136|6099| 75|+0.04|0.10|0.450   |0.017   | 1.557|0.040|1.206|0.083|         |
1894 |11673802|4992| 75|+0.04|0.10|0.0365  |0.0013  | 3.790|0.190|1.410|0.214|         |
1924 | 5108214|5844| 75|+0.21|0.10|0.1319  |0.0043  | 2.490|0.055|1.443|0.080|         |
1925 | 9955598|5460| 75|+0.08|0.10|1.8106  |0.0032  | 0.893|0.018|0.918|0.057|         |
1930 | 5511081|5923| 77|-0.07|0.10|0.309   |0.034   | 1.735|0.082|1.142|0.084|         |
1962 | 5513648|5904| 85|-0.07|0.10|0.477   |0.045   | 1.470|0.060|1.083|0.071|         |
2133 | 8219268|4605| 97|+0.29|0.16|0.00681 |0.00032 | 6.528|0.352|1.344|0.169|         |
2481 | 4476423|4553| 97|+0.42|0.16|0.001999|0.000096|10.472|0.696|1.616|0.256|         |
2545 | 9696358|6131| 75|+0.13|0.10|0.204   |0.029   | 2.134|0.134|1.417|0.093|         |
2640 | 9088780|4854| 97|-0.33|0.16|0.00429 |0.00010 | 7.478|0.246|1.274|0.110|         |
