lib_index,cps_name,lib_obs,source,source_name,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,Plx,u_Plx,Plx_source,Vmag,snr
161,KIC6106415,rj192.501,Bruntt,KIC6106415,5990.000,60.000,1.170,0.080,4.310,0.030,-0.090,0.060,1.040,0.060,9.730,0.110,4.000,24.110,0.280,Gaia,7.210,60.456
162,KIC6116048,rj193.709,Bruntt,KIC6116048,5935.000,60.000,1.170,0.080,4.280,0.030,-0.240,0.060,0.960,0.050,9.870,0.090,4.000,13.310,0.230,Gaia,8.470,49.256
163,KIC6225718,rj190.416,Bruntt,KIC6225718,6230.000,60.000,1.190,0.070,4.320,0.030,-0.170,0.060,1.090,0.060,9.560,0.160,5.000,19.150,0.270,Gaia,7.520,56.615
164,KIC6442183,rj193.717,Bruntt,KIC6442183,5760.000,60.000,1.650,0.110,4.030,0.030,-0.110,0.060,1.070,0.050,9.810,0.100,4.500,10.920,0.230,Gaia,8.580,50.238
165,KIC6603624,rj128.125,Bruntt,KIC6603624,5625.000,60.000,1.150,0.080,4.320,0.030,0.280,0.060,1.010,0.060,9.900,0.140,3.000,11.970,0.250,Gaia,9.190,146.870
166,KIC6933899,rj193.727,Bruntt,KIC6933899,5860.000,60.000,1.550,0.110,4.090,0.030,0.020,0.060,1.090,0.060,9.850,0.090,3.500,7.050,0.330,Gaia,9.750,47.356
167,KIC7206837,rj190.415,Bruntt,KIC7206837,6304.000,60.000,1.540,0.110,4.170,0.030,0.140,0.060,1.290,0.050,9.480,0.070,10.100,4.810,0.400,Gaia,9.850,44.939
168,KIC7680114,rj193.718,Bruntt,KIC7680114,5855.000,60.000,1.390,0.100,4.180,0.030,0.110,0.060,1.080,0.070,9.850,0.110,3.000,5.900,0.290,Gaia,10.150,46.862
169,KIC7747078,rj128.130,Bruntt,KIC7747078,5840.000,60.000,1.990,0.150,3.910,0.030,-0.260,0.060,1.170,0.100,9.630,0.120,6.000,5.440,0.240,Gaia,9.520,92.989
170,KIC7799349,rj193.719,Bruntt,KIC7799349,5115.000,60.000,2.670,0.210,3.670,0.030,0.410,0.060,1.220,0.120,9.780,0.140,1.000,5.330,0.220,Gaia,9.670,51.588
171,KIC7871531,rj128.133,Bruntt,KIC7871531,5400.000,60.000,0.840,0.050,4.490,0.030,-0.240,0.060,0.820,0.050,9.960,0.220,2.900,15.210,0.980,Gaia,9.440,147.597
172,KIC7940546,rj152.86,Bruntt,KIC7940546,6264.000,60.000,1.850,0.150,3.990,0.030,-0.190,0.060,1.240,0.100,9.550,0.100,9.700,11.070,0.340,Gaia,7.420,126.151
173,KIC7970740,rj193.721,Bruntt,KIC7970740,5290.000,60.000,0.720,0.030,4.580,0.030,-0.490,0.060,0.740,0.040,9.830,0.480,3.000,36.620,0.230,Gaia,7.960,54.954
174,KIC7976303,rj128.132,Bruntt,KIC7976303,6053.000,60.000,1.950,0.160,3.870,0.030,-0.530,0.060,1.030,0.090,9.810,0.130,5.500,6.400,0.240,Gaia,9.170,143.618
175,KIC8006161,rj193.722,Bruntt,KIC8006161,5390.000,60.000,0.920,0.040,4.490,0.030,0.340,0.060,0.970,0.040,9.560,0.390,2.500,36.810,0.220,Gaia,7.520,54.900
176,KIC8179536,rj192.298,Bruntt,KIC8179536,6344.000,60.000,1.330,0.090,4.270,0.030,0.010,0.060,1.220,0.050,9.410,0.140,9.000,7.070,0.360,Gaia,9.510,46.306
177,KIC8228742,rj128.140,Bruntt,KIC8228742,6042.000,60.000,1.770,0.130,4.020,0.030,-0.140,0.060,1.190,0.070,9.630,0.100,5.700,5.630,0.250,Gaia,9.500,92.492
178,KIC8394589,rj193.736,Bruntt,KIC8394589,6114.000,60.000,1.120,0.070,4.320,0.030,-0.360,0.060,0.970,0.050,9.790,0.110,6.000,7.750,0.260,Gaia,9.580,46.501
179,KIC8524425,rj193.735,Bruntt,KIC8524425,5634.000,60.000,1.800,0.160,3.980,0.030,0.140,0.060,1.130,0.110,9.850,0.140,2.300,5.580,0.250,Gaia,9.910,48.434
180,KIC8561221,rj193.692,Bruntt,KIC8561221,5245.000,60.000,2.560,0.270,3.610,0.030,-0.060,0.060,0.960,0.180,10.040,0.240,3.500,3.490,0.290,Gaia,10.080,48.288
181,KIC8694723,rj193.693,Bruntt,KIC8694723,6120.000,60.000,1.420,0.100,4.100,0.030,-0.590,0.060,0.930,0.040,9.930,0.060,6.600,8.230,0.260,Gaia,8.920,47.427
182,KIC8702606,rj128.141,Bruntt,KIC8702606,5540.000,60.000,2.240,0.180,3.760,0.030,-0.090,0.060,1.050,0.120,9.900,0.140,4.000,5.380,0.300,Gaia,9.510,95.611
183,KIC8751420,rj193.694,Bruntt,KIC8751420,5264.000,60.000,2.270,0.160,3.700,0.030,-0.150,0.060,0.940,0.060,10.070,0.100,3.500,17.250,0.240,Gaia,7.010,52.256
184,KIC8938364,rj193.695,Bruntt,KIC8938364,5630.000,60.000,1.330,0.100,4.160,0.030,-0.200,0.060,0.940,0.060,9.970,0.100,3.800,6.170,0.290,Gaia,10.210,47.137
185,KIC9098294,rj193.737,Bruntt,KIC9098294,5840.000,60.000,1.140,0.080,4.300,0.030,-0.130,0.060,0.980,0.050,9.870,0.090,4.000,7.970,0.280,Gaia,9.910,46.764
186,KIC9139151,rj128.143,Bruntt,KIC9139151,6125.000,60.000,1.140,0.060,4.380,0.030,0.110,0.060,1.150,0.040,9.290,0.240,6.000,9.610,0.230,Gaia,9.290,92.668
187,KIC9139163,rj192.499,Bruntt,KIC9139163,6400.000,60.000,1.530,0.110,4.180,0.030,0.150,0.060,1.320,0.050,9.410,0.080,4.000,9.590,0.240,Gaia,8.330,53.521
188,KIC9206432,rj128.144,Bruntt,KIC9206432,6608.000,60.000,1.490,0.090,4.230,0.030,0.230,0.060,1.390,0.060,9.160,0.130,6.700,6.590,0.220,Gaia,9.100,143.158
207,HIP10337,rj137.108,Gaidos,GJ1044,4050.899,239.294,0.694,0.072,4.670,0.060,0.120,0.100,0.650,0.070,9.600,0.530,--,42.620,0.850,Gaia,9.831,164.162
216,HIP105341,rj59.403,Gaidos,HD203040,4032.522,241.874,0.673,0.063,4.670,0.050,-0.050,0.100,0.640,0.070,9.640,0.520,--,63.220,0.530,Gaia,9.086,132.701
217,HIP114156,rj59.1640,Gaidos,HD218294,4146.300,208.784,0.660,0.051,4.670,0.050,-0.020,0.100,0.650,0.060,9.590,0.520,--,45.080,0.280,Gaia,9.640,131.046
218,HIP118261,rj59.1642,Gaidos,HD224607,4614.825,214.079,0.715,0.051,4.620,0.050,-0.040,0.100,0.740,0.060,9.580,0.520,--,43.980,0.250,Gaia,8.697,125.812
212,HIP12493,rj59.1982,Gaidos,GJ9093,4276.301,192.510,0.662,0.047,4.680,0.040,-0.290,0.100,0.640,0.060,9.600,0.520,--,41.890,0.290,Gaia,9.509,129.224
215,HIP15095,rj137.116,Gaidos,HD20280,4227.143,199.218,0.653,0.047,4.670,0.040,-0.210,0.100,0.640,0.060,9.610,0.520,--,53.970,0.270,Gaia,9.141,161.902
206,HIP1532,rj131.363,Gaidos,GJ1008.0,4038.623,241.011,0.594,0.055,4.710,0.060,-0.370,0.100,0.580,0.060,9.600,0.530,--,49.280,0.390,Gaia,9.897,159.783
213,HIP19165,rj14.622,Gaidos,GJ9144,4297.841,200.050,0.659,0.047,4.680,0.040,-0.220,0.100,0.650,0.060,9.560,0.520,--,38.660,0.220,Gaia,9.675,178.335
219,HIP25220,rj61.791,Gaidos,HD35171,4505.393,178.649,0.702,0.042,4.630,0.040,0.050,0.100,0.730,0.060,9.580,0.520,--,68.490,0.270,Gaia,7.919,143.804
221,HIP36551,rj61.466,Gaidos,HD59582,4394.604,193.281,0.669,0.046,4.660,0.040,-0.300,0.100,0.660,0.060,9.630,0.520,--,48.460,0.290,Gaia,8.926,158.850
222,HIP40375,rj149.140,Gaidos,HD68834,4334.389,208.886,0.711,0.052,4.650,0.040,0.030,0.100,0.700,0.060,9.550,0.520,--,52.050,0.270,Gaia,8.797,162.058
211,HIP40910,rj149.142,Gaidos,GJ3494,4159.484,227.577,0.633,0.053,4.670,0.050,-0.060,0.100,0.640,0.060,9.600,0.520,--,44.350,0.270,Gaia,9.748,165.927
224,HIP45839,rj63.1698,Gaidos,HD80632,4425.540,198.323,0.714,0.050,4.630,0.040,0.050,0.100,0.720,0.060,9.610,0.520,--,41.840,0.240,Gaia,9.082,144.079
208,HIP47201,rj63.779,Gaidos,GJ1127,4206.535,212.269,0.696,0.054,4.660,0.050,0.030,0.100,0.670,0.060,9.630,0.520,--,44.490,0.250,Gaia,9.406,146.555
225,HIP48411,rj63.1699,Gaidos,HD85488,4356.715,199.474,0.742,0.072,4.630,0.040,0.200,0.100,0.720,0.070,9.620,0.520,--,47.690,1.530,Hipparcos,8.840,145.508
210,HIP4845,rj134.232,Gaidos,GJ3072,3966.998,301.067,0.632,0.073,4.720,0.120,-0.190,0.100,0.590,0.090,9.620,0.520,--,46.710,0.400,Gaia,9.993,164.290
226,HIP54810,rj63.1701,Gaidos,HD97503,4394.604,184.848,0.681,0.044,4.640,0.040,0.030,0.100,0.700,0.060,9.580,0.520,--,54.180,0.300,Gaia,8.639,144.223
223,HIP5663,rj128.549,Gaidos,HD7279,4186.195,222.148,0.672,0.055,4.670,0.050,-0.050,0.100,0.660,0.060,9.580,0.520,--,44.000,0.320,Gaia,9.539,159.648
209,HIP66222,rj90.713,Gaidos,GJ1172,3904.208,266.489,0.667,0.087,4.700,0.070,-0.110,0.100,0.590,0.080,9.620,0.520,--,48.780,1.620,Hipparcos,9.927,165.256
214,HIP93871,rj59.396,Gaidos,HD178126,4449.114,177.459,0.681,0.043,4.670,0.040,-0.470,0.100,0.650,0.050,9.670,0.520,--,40.840,0.260,Gaia,9.215,126.894
220,HIP97051,rj59.397,Gaidos,HD355784,4199.725,247.929,0.631,0.057,4.700,0.070,-0.190,0.100,0.620,0.070,9.590,0.520,--,38.450,0.270,Gaia,9.958,130.628
34,111631,rj55.1182,Mann,Gl 488,3989.000,60.000,0.646,0.020,4.662,0.048,0.240,0.080,0.698,0.070,--,--,--,93.690,0.510,Gaia,8.470,174.350
0,1326B,rj124.340,Mann,Gl 15B,3218.000,60.000,0.192,0.008,5.072,0.051,-0.300,0.080,0.159,0.016,--,--,--,--,--,None,11.040,152.603
40,157881,rj76.1490,Mann,Gl 673,4124.000,60.000,0.649,0.020,4.663,0.048,0.190,0.080,0.706,0.071,--,--,--,129.260,0.260,Gaia,7.560,164.598
43,165222,rj55.1440,Mann,Gl 701,3614.000,60.000,0.459,0.016,4.788,0.048,-0.220,0.080,0.471,0.047,--,--,--,128.280,1.440,Hipparcos,9.360,174.517
46,180617,rj59.992,Mann,Gl 752A,3558.000,60.000,0.474,0.016,4.764,0.048,0.100,0.080,0.475,0.047,--,--,--,169.430,0.360,Gaia,9.115,172.390
49,209290,rj134.384,Mann,Gl 846,3848.000,60.000,0.546,0.019,4.735,0.048,0.020,0.080,0.590,0.059,--,--,--,94.220,0.660,Gaia,9.146,165.600
11,232979,rj63.1050,Mann,Gl 172,3929.000,60.000,0.608,0.020,4.684,0.048,-0.110,0.080,0.651,0.065,--,--,--,101.230,0.320,Gaia,8.863,174.945
15,245409,rj222.308,Mann,Gl 208,3966.000,60.000,0.601,0.020,4.691,0.048,0.050,0.080,0.646,0.065,--,--,--,87.660,0.290,Gaia,8.898,168.363
18,265866,rj149.110,Mann,Gl 251,3448.000,60.000,0.358,0.013,4.877,0.049,-0.020,0.080,0.352,0.035,--,--,--,180.320,0.840,Gaia,10.110,163.907
10,28343,rj131.943,Mann,Gl 169,4124.000,62.000,0.687,0.023,4.636,0.048,0.390,0.080,0.744,0.074,--,--,--,89.040,0.260,Gaia,8.300,165.025
39,GJ628,rj209.268,Mann,Gl 628,3272.000,60.000,0.325,0.012,4.883,0.048,-0.030,0.080,0.294,0.029,--,--,--,232.290,0.490,Gaia,10.072,108.269
7,GL105B,rj15.1926,Mann,Gl 105 B,3284.000,60.000,0.278,0.010,4.941,0.049,-0.120,0.030,0.246,0.025,--,--,--,--,--,None,11.664,103.877
8,GL109,rj78.491,Mann,Gl 109,3405.000,60.000,0.364,0.014,4.852,0.049,-0.100,0.080,0.343,0.034,--,--,--,132.420,2.480,Hipparcos,10.563,150.122
23,GL2066,rj50.296,Mann,GJ 2066,3500.000,60.000,0.461,0.017,4.766,0.049,-0.120,0.080,0.452,0.045,--,--,--,112.040,0.800,Gaia,10.091,158.123
16,GL239,rj63.473,Mann,Gl 239,3801.000,60.000,0.423,0.015,4.859,0.049,-0.340,0.080,0.471,0.047,--,--,--,99.500,0.530,Gaia,9.593,165.503
17,GL250B,rj15.1505,Mann,Gl 250 B,3481.000,60.000,0.460,0.017,4.760,0.049,0.140,0.030,0.444,0.044,--,--,--,--,--,None,10.050,167.672
19,GL273,rj82.219,Mann,Gl 273,3317.000,60.000,0.315,0.012,4.894,0.049,-0.110,0.080,0.283,0.028,--,--,--,263.260,1.430,Hipparcos,9.872,161.878
26,GL382,rj118.811,Mann,Gl 382,3623.000,60.000,0.522,0.019,4.723,0.049,0.130,0.080,0.525,0.053,--,--,--,127.990,1.530,Hipparcos,9.264,163.942
28,GL393,rj55.1377,Mann,Gl 393,3548.000,60.000,0.420,0.016,4.821,0.050,-0.180,0.080,0.426,0.043,--,--,--,138.290,2.130,Hipparcos,9.650,166.095
36,GL514,rj55.901,Mann,Gl 514,3727.000,61.000,0.483,0.016,4.792,0.048,-0.090,0.080,0.527,0.053,--,--,--,131.120,1.290,Hipparcos,9.029,174.088
38,GL625,rj35.852,Mann,Gl 625,3475.000,60.000,0.331,0.012,4.897,0.049,-0.350,0.080,0.315,0.032,--,--,--,154.080,0.600,Gaia,10.170,147.982
41,GL686,rj59.1273,Mann,Gl 686,3657.000,60.000,0.424,0.015,4.829,0.048,-0.250,0.080,0.442,0.044,--,--,--,123.020,1.620,Hipparcos,9.577,173.907
42,GL694,rj59.1283,Mann,Gl 694,3464.000,61.000,0.440,0.017,4.785,0.049,0.000,0.080,0.430,0.043,--,--,--,105.390,1.150,Hipparcos,10.488,139.275
45,GL745A,rj97.2588,Mann,Gl 745A,3500.000,60.000,0.310,0.012,4.927,0.050,-0.330,0.080,0.296,0.030,--,--,--,113.440,0.340,Gaia,10.774,140.815
47,GL806,rj59.1030,Mann,Gl 806,3542.000,61.000,0.443,0.018,4.781,0.050,-0.150,0.080,0.432,0.043,--,--,--,83.000,0.400,Gaia,10.704,135.921
4,GL83.1,rj222.304,Mann,Gl 83.1,3080.000,60.000,0.187,0.010,5.053,0.053,-0.160,0.080,0.144,0.014,--,--,--,--,--,None,12.298,87.280
5,GL87,rj61.724,Mann,Gl 87,3638.000,62.000,0.443,0.017,4.789,0.049,-0.360,0.080,0.440,0.044,--,--,--,94.790,0.390,Gaia,10.042,147.122
51,GL875,rj190.1206,Mann,Gl 875,3740.000,61.000,0.563,0.024,4.699,0.051,0.020,0.080,0.578,0.058,--,--,--,71.430,1.840,Hipparcos,9.847,159.356
54,GL896A,rj193.921,Mann,Gl 896A,3353.000,60.000,0.409,0.016,4.794,0.050,0.030,0.080,0.379,0.038,--,--,--,--,--,None,10.173,158.121
55,GL908,rj38.271,Mann,Gl 908,3646.000,60.000,0.407,0.014,4.830,0.048,-0.450,0.080,0.408,0.041,--,--,--,169.090,0.380,Gaia,8.993,173.827
48,HIP104432,rj59.2216,Mann,Gl 821,3545.000,60.000,0.369,0.016,4.856,0.051,-0.450,0.080,0.356,0.036,--,--,--,84.930,0.350,Gaia,10.869,123.281
50,HIP109388,rj02.945,Mann,Gl 849,3530.000,60.000,0.470,0.018,4.777,0.049,0.370,0.080,0.482,0.048,--,--,--,113.250,0.320,Gaia,10.366,135.931
6,HIP11048,rj64.154,Mann,Gl 96,3785.000,62.000,0.599,0.021,4.672,0.048,0.140,0.080,0.614,0.061,--,--,--,83.930,1.300,Hipparcos,9.345,162.252
52,HIP115332,rj222.273,Mann,GJ 4333,3324.000,60.000,0.416,0.020,4.792,0.052,0.240,0.080,0.391,0.039,--,--,--,93.500,3.580,Hipparcos,11.710,109.903
53,HIP115562,rj15.943,Mann,Gl 895,3764.000,60.000,0.539,0.020,4.742,0.049,0.310,0.080,0.585,0.058,--,--,--,75.770,0.450,Gaia,10.113,161.113
9,HIP15366,rj165.57,Mann,Gl 134,3700.000,61.000,0.628,0.031,4.648,0.053,0.530,0.080,0.639,0.064,--,--,--,57.750,2.190,Hipparcos,10.280,164.158
1,HIP1734,rj15.517,Mann,GJ 1009,3600.000,60.000,0.528,0.028,4.734,0.054,0.270,0.080,0.551,0.055,--,--,--,55.180,0.500,Gaia,11.130,98.970
12,HIP21556,rj85.326,Mann,Gl 173,3671.000,61.000,0.444,0.017,4.818,0.049,-0.040,0.080,0.472,0.047,--,--,--,89.460,0.360,Gaia,10.331,163.681
13,HIP22762,rj97.2842,Mann,Gl 180,3506.000,60.000,0.421,0.019,4.806,0.051,-0.240,0.080,0.413,0.041,--,--,--,83.700,0.300,Gaia,10.894,148.254
14,HIP23512,rj222.99,Mann,GJ 3325,3365.000,60.000,0.284,0.013,4.950,0.051,-0.120,0.080,0.262,0.026,--,--,--,107.930,0.340,Gaia,11.735,119.224
20,HIP36338,rj06.1476,Mann,GJ 1097,3448.000,60.000,0.404,0.019,4.824,0.052,-0.010,0.080,0.397,0.040,--,--,--,79.650,2.610,Hipparcos,11.456,70.029
21,HIP36834,rj15.1501,Mann,Gl 277.1,3681.000,60.000,0.385,0.016,4.866,0.051,-0.370,0.080,0.397,0.040,--,--,--,85.210,0.280,Gaia,10.390,155.362
22,HIP37217,rj15.564,Mann,GJ 3459,3358.000,60.000,0.315,0.016,4.904,0.053,-0.180,0.080,0.290,0.029,--,--,--,92.150,2.990,Hipparcos,11.712,119.233
24,HIP46769,rj06.1489,Mann,Gl 353,3692.000,60.000,0.518,0.021,4.736,0.050,-0.200,0.080,0.532,0.053,--,--,--,73.630,0.330,Gaia,10.139,116.001
25,HIP47513,rj149.148,Mann,Gl 361,3500.000,60.000,0.485,0.019,4.739,0.050,-0.050,0.080,0.470,0.047,--,--,--,86.230,0.310,Gaia,10.370,164.193
27,HIP51007,rj118.812,Mann,Gl 390,3700.000,60.000,0.497,0.020,4.762,0.050,-0.020,0.080,0.520,0.052,--,--,--,78.310,0.410,Gaia,10.139,164.406
2,HIP5643,rj222.76,Mann,Gl 54.1,3056.000,60.000,0.168,0.009,5.102,0.053,-0.260,0.080,0.130,0.013,--,--,--,269.050,7.570,Hipparcos,12.074,109.043
29,HIP57050,rj82.247,Mann,GJ 1148,3304.000,61.000,0.376,0.018,4.814,0.053,0.070,0.080,0.336,0.034,--,--,--,90.940,0.420,Gaia,11.959,129.927
30,HIP57548,rj06.1485,Mann,Gl 447,3192.000,60.000,0.197,0.008,5.076,0.050,-0.020,0.080,0.168,0.017,--,--,--,295.800,0.540,Gaia,11.153,89.286
31,HIP59748,rj67.506,Mann,Gl 458.2,3900.000,61.000,0.669,0.038,4.633,0.056,0.140,0.080,0.701,0.070,--,--,--,43.810,0.850,Gaia,10.507,154.846
32,HIP60093,rj67.535,Mann,Gl 459.3,3993.000,60.000,0.643,0.037,4.669,0.056,0.460,0.080,0.703,0.070,--,--,--,42.180,0.400,Gaia,10.640,148.964
33,HIP61706,rj92.111,Mann,Gl 480,3463.000,60.000,0.466,0.025,4.771,0.055,0.260,0.080,0.467,0.047,--,--,--,65.040,2.760,Hipparcos,11.502,126.314
35,HIP65016,rj67.533,Mann,Gl 507.1,3650.000,60.000,0.598,0.025,4.661,0.051,0.400,0.080,0.597,0.060,--,--,--,58.940,0.410,Gaia,10.598,153.246
37,HIP71253,rj222.752,Mann,Gl 555,3211.000,60.000,0.310,0.013,4.892,0.050,0.170,0.080,0.273,0.027,--,--,--,159.130,0.940,Gaia,11.317,124.280
3,HIP8051,rj82.722,Mann,Gl 70,3458.000,60.000,0.414,0.017,4.808,0.050,-0.130,0.080,0.401,0.040,--,--,--,89.200,0.750,Gaia,10.915,148.077
44,HIP91699,rj153.114,Mann,GJ 4070,3400.000,61.000,0.394,0.019,4.814,0.053,-0.160,0.080,0.369,0.037,--,--,--,92.840,0.260,Gaia,11.300,109.828
64,101501,rj189.1669,Von Braun,HD101501,5309.000,27.000,0.940,0.010,4.420,0.020,-0.030,0.100,0.840,0.030,10.140,0.050,--,104.810,0.720,Hipparcos,5.340,156.145
107,10476,rj13.2064,Von Braun,HD10476,5242.000,12.000,0.810,0.004,4.570,0.020,-0.020,0.100,0.880,0.040,9.510,0.420,--,133.910,0.910,Hipparcos,5.240,175.371
108,10697,rj78.493,Von Braun,HD10697,5442.000,65.000,1.915,0.052,3.910,0.050,0.120,0.100,1.090,0.100,9.920,0.120,--,30.710,0.810,Hipparcos,6.292,153.484
92,10700,rj01.1093,Von Braun,HD10700,5290.000,39.000,0.815,0.012,4.500,0.030,-0.480,0.100,0.760,0.040,10.090,0.160,--,274.170,0.800,Hipparcos,3.500,184.340
149,107383,rj185.1189,Von Braun,HD107383,4705.000,24.000,15.781,0.344,2.150,0.040,-0.300,0.100,1.290,0.100,9.560,0.090,--,9.040,0.860,Hipparcos,4.740,167.844
127,10780,rj180.740,Von Braun,GJ75,5398.000,75.000,0.819,0.024,4.560,0.030,0.030,0.100,0.900,0.040,9.360,0.390,--,100.240,0.680,Hipparcos,5.630,156.906
141,115617,rj06.1131,Von Braun,HD115617,5538.000,13.000,0.987,0.005,4.410,0.020,0.010,0.100,0.920,0.040,9.970,0.070,--,117.300,0.710,Hipparcos,4.740,175.174
87,117176,rj72.745,Von Braun,HD117176,5406.000,64.000,1.968,0.047,3.840,0.050,-0.060,0.100,0.970,0.100,10.020,0.130,--,54.700,0.880,Gaia,4.970,161.547
109,11964A,rj01.1088,Von Braun,HD11964,5013.000,62.000,2.143,0.069,3.770,0.050,0.140,0.100,0.990,0.070,10.090,0.100,--,29.430,0.910,Hipparcos,6.420,176.637
117,119850,rj55.902,Von Braun,GJ526,3618.000,31.000,0.484,0.008,4.780,0.020,-0.300,0.100,0.500,0.020,9.840,0.490,--,184.130,1.270,Hipparcos,8.500,173.618
88,120136,rj222.343,Von Braun,HD120136,6620.000,67.000,1.331,0.027,4.300,0.020,0.240,0.100,1.310,0.030,9.070,0.110,--,64.120,0.700,Hipparcos,4.490,161.586
100,126660,rj187.198,Von Braun,HD126660,6211.000,19.000,1.734,0.011,4.080,0.020,-0.020,0.100,1.310,0.050,9.530,0.060,--,68.630,0.560,Hipparcos,4.050,163.304
75,130948,rj187.196,Von Braun,HD130948,5787.000,57.000,1.112,0.023,4.350,0.040,-0.050,0.100,0.990,0.050,9.860,0.130,--,55.730,0.800,Hipparcos,5.880,154.596
65,131156,rj187.193,Von Braun,HD131156,5483.000,32.000,0.863,0.011,4.530,0.030,-0.140,0.100,0.910,0.050,9.620,0.400,--,149.260,0.760,Hipparcos,4.593,164.395
133,1326,rj08.880,Von Braun,GJ15,3567.000,11.000,0.386,0.002,4.870,0.010,-0.360,0.100,0.400,0.010,9.660,0.520,--,280.740,0.310,Gaia,8.130,180.020
95,136202,rj179.71,Von Braun,HD136202,5661.000,87.000,2.143,0.067,3.830,0.060,-0.040,0.100,1.110,0.130,9.820,0.160,--,40.460,0.810,Hipparcos,5.100,159.347
142,143761,rj70.465,Von Braun,HD143761,5627.000,54.000,1.362,0.026,4.150,0.030,-0.220,0.100,0.960,0.060,9.960,0.100,--,57.380,0.710,Hipparcos,5.410,155.901
144,145675,rj55.1237,Von Braun,GJ614,5518.000,102.000,0.867,0.032,4.530,0.030,0.440,0.100,0.980,0.040,9.270,0.360,--,55.930,0.240,Gaia,6.670,167.407
147,1461,rj01.182,Von Braun,HD1461,5386.000,60.000,1.244,0.030,4.220,0.040,0.160,0.100,0.930,0.030,10.150,0.050,--,42.670,0.850,Hipparcos,6.460,174.937
118,149661,rj222.759,Von Braun,GJ631,5337.000,41.000,0.759,0.012,4.590,0.010,0.040,0.100,0.850,0.030,9.220,0.290,--,102.270,0.850,Hipparcos,5.770,160.035
96,157214,rj59.1282,Von Braun,HD157214,5738.000,48.000,1.116,0.019,4.290,0.040,-0.370,0.100,0.870,0.060,10.040,0.110,--,69.480,0.560,Hipparcos,5.390,165.781
76,158633,rj61.668,Von Braun,HD158633,5203.000,46.000,0.789,0.014,4.540,0.040,-0.410,0.100,0.770,0.050,10.030,0.330,--,78.340,0.240,Gaia,6.430,165.820
112,16160,rj23.1115,Von Braun,GJ105,4662.000,17.000,0.795,0.006,4.540,0.010,-0.080,0.100,0.770,0.010,10.160,0.040,--,138.720,1.040,Hipparcos,5.830,175.124
90,161797,rj59.1280,Von Braun,HD161797,5502.000,55.000,1.745,0.035,3.990,0.030,0.230,0.100,1.080,0.050,9.930,0.070,--,119.050,0.620,Hipparcos,3.420,174.108
66,164259,rj187.472,Von Braun,HD164259,6454.000,113.000,1.961,0.071,4.010,0.040,-0.030,0.100,1.430,0.070,9.400,0.080,--,43.110,0.750,Hipparcos,4.633,158.980
70,166,rj21.1376,Von Braun,HD166,5327.000,39.000,0.917,0.009,4.450,0.030,0.080,0.100,0.870,0.040,10.050,0.130,--,72.630,0.520,Gaia,6.130,171.856
72,16765,rj179.143,Von Braun,HD16765,6356.000,46.000,1.208,0.029,4.350,0.040,-0.150,0.100,1.170,0.060,9.320,0.250,--,46.240,1.310,Hipparcos,5.710,154.328
77,168151,rj187.489,Von Braun,HD168151,6221.000,39.000,1.758,0.022,4.030,0.040,-0.280,0.100,1.190,0.100,9.600,0.110,--,42.560,0.450,Hipparcos,5.030,157.671
56,16895,rj185.804,Von Braun,HD16895,6153.000,25.000,1.319,0.011,4.260,0.020,0.000,0.100,1.160,0.050,9.590,0.090,--,89.030,0.790,Hipparcos,4.110,162.403
67,173667,rj187.478,Von Braun,HD173667,6296.000,19.000,2.064,0.017,3.960,0.010,-0.030,0.100,1.430,0.040,9.440,0.030,--,52.370,0.680,Hipparcos,4.190,163.808
101,173701,rj187.482,Von Braun,HD173701,5297.000,53.000,0.952,0.021,4.430,0.040,0.240,0.100,0.880,0.050,10.060,0.180,--,36.810,0.220,Gaia,7.520,149.464
122,173739,rj55.1240,Von Braun,GJ725A,3407.000,15.000,0.356,0.004,4.900,0.010,-0.490,0.100,0.360,0.010,9.830,0.480,--,283.540,0.410,Gaia,8.910,174.094
123,173740,rj55.1241,Von Braun,GJ725B,3104.000,28.000,0.323,0.006,4.920,0.010,-0.360,0.100,0.300,0.010,10.010,0.360,--,286.390,0.830,Gaia,9.690,170.074
102,177153,rj173.399,Von Braun,HD177153,5909.000,69.000,1.289,0.037,4.250,0.040,-0.060,0.100,1.060,0.050,9.800,0.100,--,24.110,0.280,Gaia,7.210,151.733
103,181420,rj188.905,Von Braun,HD181420,6283.000,106.000,1.730,0.084,4.090,0.060,-0.030,0.100,1.310,0.090,9.500,0.120,--,20.000,0.470,Gaia,6.550,153.709
68,182572,rj08.774,Von Braun,HD182572,5643.000,84.000,1.379,0.042,4.190,0.050,0.340,0.100,1.060,0.090,9.920,0.170,--,66.010,0.770,Hipparcos,5.160,173.393
104,182736,rj174.501,Von Braun,HD182736,5239.000,37.000,2.703,0.071,3.570,0.080,-0.060,0.100,0.970,0.170,10.020,0.220,--,17.250,0.240,Gaia,7.010,155.620
132,185144,rj01.169,Von Braun,GJ764,5246.000,26.000,0.778,0.008,4.580,0.030,-0.190,0.100,0.840,0.050,9.510,0.430,--,173.600,0.910,Gaia,4.680,178.615
78,186408,rj55.1848,Von Braun,HD186408,5760.000,57.000,1.255,0.026,4.250,0.030,0.050,0.100,1.020,0.050,9.920,0.100,--,46.980,0.250,Gaia,5.950,163.702
