,cps_name,obs,Teff,u_Teff,radius,u_radius,FeH,u_FeH,mass,u_mass,Source
68,K00122,rj124.138,5699,74,1.415,0.039,0.3,0.1,1.084,0.076,Huber
69,CK00123,rj122.773,5952,75,1.323,0.037,-0.08,0.1,1.039,0.065,Huber
70,CK00168,rj156.1568,5828,100,1.548,0.048,-0.05,0.1,1.078,0.077,Huber
71,K00244,rj138.326,6270,79,1.309,0.023,-0.04,0.1,1.187,0.06,Huber
72,K00245,rj179.289,5417,75,0.772,0.026,-0.32,0.07,0.803,0.068,Huber
73,CK00246,rj122.88,5793,74,1.243,0.019,0.12,0.07,1.079,0.051,Huber
74,CK00257,rj117.154,6184,81,1.188,0.022,0.12,0.1,1.18,0.053,Huber
75,K00260,rj190.981,6239,94,1.358,0.024,-0.14,0.1,1.188,0.059,Huber
76,K00262,rj190.815,6225,75,1.584,0.031,-0.0,0.08,1.259,0.072,Huber
77,CK00263B,rj122.96,5784,98,1.574,0.039,-0.11,0.11,1.045,0.064,Huber
78,CK00268,rj118.462,6343,85,1.366,0.026,-0.04,0.1,1.23,0.058,Huber
79,CK00269,rj117.155,6463,110,1.447,0.026,0.09,0.11,1.318,0.057,Huber
80,CK00270,rj118.463,5588,99,1.467,0.033,-0.1,0.1,0.969,0.053,Huber
81,CK00271,rj117.161,6106,106,1.359,0.035,0.33,0.1,1.24,0.086,Huber
82,K00273,rj131.696,5739,75,1.081,0.019,0.35,0.1,1.069,0.048,Huber
83,CK00274,rj122.743,6072,75,1.659,0.038,-0.09,0.1,1.184,0.074,Huber
84,CK00275,rj117.168,5770,83,1.641,0.051,0.29,0.1,1.197,0.094,Huber
85,CK00276,rj117.172,5982,82,1.185,0.026,-0.02,0.1,1.076,0.061,Huber
86,K00277,rj193.289,5911,66,1.626,0.019,-0.2,0.06,1.071,0.043,Huber
87,CK00279,rj117.167,6215,89,1.57,0.085,0.28,0.1,1.346,0.084,Huber
88,CK00280,rj117.158,6134,91,1.042,0.026,-0.24,0.1,1.032,0.07,Huber
89,CK00281,rj117.177,5622,106,1.406,0.041,-0.4,0.11,0.884,0.066,Huber
90,K00282,rj213.102,5884,75,1.127,0.033,-0.22,0.1,0.934,0.059,Huber
91,CK00285,rj117.163,5871,94,1.703,0.048,0.17,0.11,1.207,0.084,Huber
92,CK00288,rj117.157,6174,92,2.114,0.042,0.22,0.1,1.49,0.082,Huber
93,CK00319,rj119.1140,5882,87,2.064,0.076,0.16,0.1,1.325,0.096,Huber
94,CK00370,rj117.176,6144,106,1.85,0.05,0.13,0.1,1.319,0.101,Huber
95,CK00371,rj117.183,5198,95,3.207,0.107,0.19,0.11,1.552,0.154,Huber
96,CK00623,rj117.171,6004,102,1.12,0.033,-0.38,0.1,0.922,0.059,Huber
97,CK00674,rj124.504,4883,75,2.69,0.114,0.16,0.1,1.15,0.12,Huber
98,CK00974,rj122.84,6253,75,1.851,0.044,-0.13,0.1,1.27,0.086,Huber
99,CK00975,rj122.80,6131,44,1.86,0.02,-0.15,0.06,1.34,0.01,Huber
100,CK00981,rj173.398,5066,75,5.324,0.107,-0.33,0.1,1.372,0.073,Huber
101,CK01019,rj122.90,5009,75,3.585,0.09,-0.02,0.1,1.327,0.094,Huber
102,CK01054,rj117.174,5254,97,--,--,-0.94,0.16,--,--,Huber
103,CK01221,rj189.1701,4991,75,2.935,0.066,0.28,0.1,1.298,0.076,Huber
104,CK01222,rj122.779,5055,75,3.733,0.176,-0.07,0.1,1.429,0.162,Huber
105,CK01230,rj122.295,5015,97,7.062,0.258,-0.21,0.16,1.782,0.193,Huber
106,CK01241,rj153.1311,4840,97,4.23,0.15,0.2,0.16,1.32,0.13,Huber
107,CK01282,rj125.90,6034,92,1.592,0.05,-0.14,0.1,1.12,0.083,Huber
108,CK01299,rj116.663,4995,78,4.16,0.12,-0.07,0.1,1.353,0.101,Huber
109,CK01314,rj125.111,5048,75,3.549,0.104,-0.03,0.1,1.345,0.102,Huber
110,CK01537,rj117.170,6260,116,1.824,0.049,0.1,0.11,1.366,0.101,Huber
111,CK01612,rj150.313,6104,74,1.225,0.027,-0.2,0.1,1.079,0.069,Huber
112,CK01613,rj131.490,6044,117,1.327,0.041,-0.24,0.11,1.008,0.08,Huber
113,CK01618,rj131.493,6173,93,1.506,0.035,0.17,0.1,1.27,0.082,Huber
114,CK01621,rj131.496,6081,75,1.954,0.064,-0.03,0.1,1.294,0.093,Huber
115,CK01890,rj131.494,6099,75,1.557,0.04,0.04,0.1,1.206,0.083,Huber
116,CK01894,rj154.66,4992,75,3.79,0.19,0.04,0.1,1.41,0.214,Huber
117,K01924,rj152.501,5844,75,2.49,0.055,0.21,0.1,1.443,0.08,Huber
118,K01925,rj152.504,5460,75,0.893,0.018,0.08,0.1,0.918,0.057,Huber
119,CK01930,rj131.499,5923,77,1.735,0.082,-0.07,0.1,1.142,0.084,Huber
120,CK01962,rj131.489,5904,85,1.47,0.06,-0.07,0.1,1.083,0.071,Huber
121,CK02133,rj131.506,4605,97,6.528,0.352,0.29,0.16,1.344,0.169,Huber
122,CK02481,rj152.926,4553,97,10.472,0.696,0.42,0.16,1.616,0.256,Huber
123,CK02545,rj150.520,6131,75,2.134,0.134,0.13,0.1,1.417,0.093,Huber
124,CK02640,rj153.95,4854,97,7.478,0.246,-0.33,0.16,1.274,0.11,Huber
125,4614B,rj76.1116,5973,8,1.0386,0.0038,-0.28,,,,VonBraun
126,16895,rj185.804,6153,25,1.319,0.0109,0.0,,,,VonBraun
127,22484,rj137.243,5998,39,1.6219,0.0242,-0.09,,,,VonBraun
128,34411,rj130.1130,5774,44,1.3314,0.0211,0.05,,,,VonBraun
129,39587,rj185.1109,5898,25,0.9791,0.0091,-0.04,,,,VonBraun
130,48737,rj185.1113,6478,21,2.7098,0.0206,0.14,,,,VonBraun
131,58946,rj185.825,6738,55,1.6553,0.0275,-0.25,,,,VonBraun
132,82328,rj185.873,6238,10,2.3653,0.0082,-0.16,,,,VonBraun
133,82885,rj187.392,5376,43,1.0029,0.0158,0.32,,,,VonBraun
134,86728,rj06.1086,5619,44,1.2466,0.0205,0.19,,,,VonBraun
135,101501,rj189.1669,5309,27,0.94,0.01,-0.03,,,,VonBraun
136,131156,rj187.194,5483,32,0.8627,0.0107,-0.14,,,,VonBraun
137,162003,rj188.555,5928,81,2.3289,0.0671,-0.03,,,,VonBraun
