SPOCSNUM,NAME,SNR,LRMS,CRMS,VSINI,TEFF,LOGG,MONH,FEH
2217,KOI-5085,17,0.0938,0.0797,0.10,5676.9,4.3962,-0.1173,-0.0686
2218,KIC-4659476,34,0.0446,0.0384,11.97,6384.4,3.8593,-0.1934,-0.1795
2219,KIC-3938173,30,0.0578,0.0419,1.78,5939.4,4.1079,0.3882,0.4954
2220,KIC-4351319,56,0.0282,0.0225,1.46,4892.3,3.4190,0.3493,0.3633
2221,KIC-4830001,28,0.0509,0.0616,2.58,5728.6,4.5872,-0.1221,-0.1598
2222,KIC-4660012,36,0.0344,0.0315,3.06,5524.8,4.5580,-0.1576,-0.1017
2223,KIC-3939069,31,0.0681,0.1849,3.00,4967.8,4.4211,0.1056,0.1406
2224,KIC-4649305,32,0.0409,0.0397,0.10,6712.0,4.1654,0.0277,0.0639
2225,KIC-4472818,86,0.0168,0.0147,3.12,5811.5,4.4916,0.0586,0.0955
2226,KIC-3971507,38,0.0771,0.0428,9.17,5377.5,4.4196,0.0192,0.1592
2227,KOI-5039,25,0.0571,0.0479,0.10,4774.2,4.5152,0.0353,0.0306
2228,KIC-4554830,29,0.0413,0.0392,3.18,5573.9,4.0214,0.2783,0.2748
2229,KIC-4548011,51,0.0242,0.0224,3.31,5938.7,4.1617,0.1037,0.1184
2230,KIC-4750938,28,0.0514,0.0658,8.01,6374.7,4.6868,-0.1217,-0.1050
2231,KIC-5473556,17,0.0968,0.0760,6.95,6218.3,3.9473,-0.2057,-0.2048
2232,KIC-5608037,28,0.0638,0.0684,5.17,5459.4,3.7006,-0.0726,-0.0102
2233,KIC-4947556,79,0.0255,0.0178,5.80,4958.0,4.3815,0.0656,0.1692
2234,KIC-5005618,40,0.0529,0.0408,8.41,6171.2,4.0817,0.0204,-0.0271
2235,KIC-5607242,52,0.0231,0.0215,2.10,5502.2,3.8039,-0.0845,-0.0616
2236,KOI-5155,24,0.0523,0.0481,0.10,5792.0,4.3726,-0.0028,-0.0004
2237,KIC-5017127,39,0.0383,0.0330,2.61,6580.5,4.2370,0.0355,0.0520
2238,KIC-5018442,30,0.0405,0.0405,15.12,6224.5,4.2905,0.2065,0.2796
2239,KIC-5021689,108,0.0158,0.0117,7.06,6108.7,3.9353,-0.0372,-0.0030
2240,KIC-5104192,46,0.0303,0.0255,0.10,5898.8,4.6266,-0.2299,-0.2984
2241,KIC-5431016,106,0.0193,0.0126,0.10,6483.9,3.8990,-0.0435,-0.0004
2242,KIC-5445334,30,0.0413,0.0456,5.49,5234.1,4.4892,-0.0139,0.0241
2243,KIC-5179841,34,0.0420,0.0359,4.27,5813.8,4.2160,0.3301,0.3438
2244,KOI-5135,24,0.0531,0.0635,3.03,5038.4,4.3974,-0.0314,-0.0196
2245,KIC-5455407,33,0.0397,0.0402,7.94,5429.8,3.6943,0.0923,0.1624
2246,KIC-5184732,53,0.0223,0.0214,3.83,5770.5,4.2027,0.3645,0.3654
2247,KIC-5308537,51,0.0239,0.0223,2.58,5890.4,4.2844,0.2266,0.2230
2248,KIC-5383248,50,0.0237,0.0226,1.73,5704.0,4.5022,0.0316,0.0588
2249,KIC-5385410,48,0.0272,0.0252,10.13,6292.2,4.1902,-0.0293,0.0185
2250,KIC-5723165,118,0.0141,0.0120,0.06,5230.9,3.6964,-0.0048,0.0221
2251,KIC-5695396,50,0.0237,0.0229,1.56,5729.4,4.4725,0.1386,0.1564
2252,KIC-5689820,122,0.0192,0.0128,0.10,4969.5,3.7106,0.2410,0.2784
2253,KIC-5480640,34,0.0369,0.0347,1.88,5576.0,4.5203,-0.1693,-0.1852
2254,KOI-7566,23,0.0848,0.0604,2.51,5705.2,4.2522,0.1739,0.1731
2255,KOI-5198,23,0.0533,0.0514,0.10,5282.8,4.5620,-0.0542,-0.0667
2256,KIC-6531928,53,0.0242,0.0215,0.10,5142.0,3.8595,-0.5073,-0.5587
2257,KIC-6442183,55,0.0217,0.0198,2.72,5703.7,4.0835,-0.1109,-0.1136
2258,KIC-6370558,34,0.0363,0.0338,5.34,6152.5,4.0169,-0.0120,0.0193
2259,KIC-6313425,115,0.0146,0.0120,2.88,5660.2,3.7459,0.0169,0.0479
2260,KIC-6307537,18,0.0799,0.0739,4.39,4842.7,3.2295,-0.1004,-0.0052
2261,KIC-6307083,36,0.0367,0.0326,2.41,5048.0,4.5276,0.0621,0.0984
2262,KIC-6225718,63,0.0208,0.0173,0.10,6206.3,4.2796,-0.0412,-0.0368
2263,KIC-6187639,29,0.0516,0.1215,6.35,5227.9,4.1261,-0.0263,0.1018
2264,KIC-6140059,49,0.0273,0.0225,0.10,6097.4,3.8902,0.1422,0.1747
2265,KIC-6137704,43,0.0301,0.0269,2.04,5260.0,4.4663,0.0843,0.0778
2266,KIC-6116048,54,0.0227,0.0205,2.85,6013.1,4.2504,-0.1361,-0.1379
2267,KIC-6106415,67,0.0195,0.0181,3.25,5987.6,4.2326,-0.0160,0.0022
2268,KIC-6064910,108,0.0179,0.0122,4.04,6363.4,3.7913,-0.1842,-0.1631
2269,KIC-5960989,34,0.0416,0.0351,18.89,6355.9,3.8725,0.0635,0.1218
2270,KIC-5955905,26,0.0519,0.0447,4.00,6237.0,4.2641,-0.1476,-0.1462
2271,KIC-5955122,110,0.0157,0.0120,5.11,5880.4,3.8721,-0.0908,-0.0647
2272,KIC-5896387,32,0.0421,0.0396,3.91,5858.6,4.5051,0.0246,0.0567
2273,KIC-5818706,35,0.0366,0.0334,6.21,6358.7,4.0706,-0.2590,-0.2544
2274,KIC-5790807,48,0.0307,0.0261,10.35,6531.7,3.7546,0.1021,0.2066
2275,KIC-5773345,110,0.0162,0.0123,2.05,6139.2,3.9998,0.2937,0.3415
2276,KOI-5284,33,0.0368,0.0337,1.88,5584.2,4.1424,0.3221,0.3226
2277,KOI-5247,32,0.0369,0.0351,0.59,5992.7,4.1667,0.1625,0.1726
2278,KOI-5216,23,0.0658,0.0512,0.10,5566.7,4.5782,-0.1085,-0.1224
2279,KIC-7266428,30,0.0737,0.0542,7.38,4996.1,3.9197,-0.3185,-0.3292
2280,KOI-6786,18,0.0758,0.0713,0.10,5851.7,4.5521,0.0120,0.0180
2281,KOI-6759,33,0.0358,0.0338,0.09,5403.0,3.9765,0.3006,0.3078
2282,KOI-6745,27,0.0471,0.0428,4.46,6327.8,4.0253,0.1235,0.1789
2283,KOI-6734,24,0.0745,0.0546,2.68,5218.4,4.3452,0.3036,0.3562
2284,KOI-5380,25,0.0487,0.0488,0.10,5624.0,4.5786,-0.2202,-0.2410
2285,KIC-7357531,42,0.0286,0.0269,1.97,5663.4,4.2158,0.1583,0.1395
2286,KIC-7353970,43,0.0280,0.0286,2.08,5393.7,4.3644,0.2404,0.2545
2287,KIC-7303287,60,0.0215,0.0185,5.23,5988.7,4.4950,0.0112,0.0425
2288,KIC-7282872,34,0.0349,0.0353,7.09,6156.8,4.4702,-0.1945,-0.1819
2289,KIC-7206837,49,0.0259,0.0229,7.55,6261.8,4.1363,0.2291,0.2727
2290,KIC-7107778,55,0.0243,0.0213,4.63,5022.8,3.6232,0.1262,0.1759
2291,KIC-7106245,109,0.0140,0.0114,0.10,5951.1,4.3115,-0.1170,-0.1160
2292,KIC-7103006,50,0.0257,0.0227,8.67,6403.7,4.1438,0.1753,0.2358
2293,KIC-7020182,34,0.0968,0.0347,5.72,5478.2,4.2761,-0.0666,-0.0668
2294,KIC-6948006,41,0.0298,0.0266,0.10,5825.0,4.1011,-0.5430,-0.5648
2295,KIC-6933899,52,0.0233,0.0219,3.16,5864.4,4.0585,0.0430,0.0556
2296,KIC-6851380,39,0.0533,0.0371,2.96,4991.5,4.7828,-0.2968,-0.2105
2297,KIC-6779260,99,0.0258,0.0138,6.87,5286.1,4.4458,-0.0252,0.0477
2298,KIC-6775034,32,0.0401,0.0369,9.37,6672.1,4.3327,-0.0729,-0.0263
2299,KIC-6766513,108,0.0177,0.0116,0.10,6203.1,3.8686,-0.0945,-0.0662
2300,KIC-6693861,51,0.0256,0.0214,0.74,5668.9,3.9200,-0.2993,-0.3111
2301,KIC-6679371,48,0.0281,0.0258,13.68,6408.9,3.9562,0.1028,0.2052
2302,KIC-6603624,230,0.0117,0.0087,1.80,5591.1,4.2464,0.2144,0.2227
2303,KIC-8053926,36,0.0398,0.0303,6.64,6088.2,4.0580,0.3886,0.4547
2304,KIC-7680114,51,0.0234,0.0209,2.16,5835.0,4.1826,0.1098,0.1125
2305,KIC-7742408,45,0.0327,0.0316,2.31,4788.1,4.4893,0.0972,0.1692
2306,KIC-7747078,112,0.0153,0.0115,4.31,5918.5,3.9373,-0.1410,-0.1271
2307,KIC-7771282,49,0.0253,0.0225,5.71,6244.4,4.1536,0.0624,0.0894
2308,KOI-5423,24,0.0519,0.0521,2.66,5571.6,4.1339,0.2071,0.2192
2309,KIC-7830637,41,0.0315,0.0319,0.10,6134.1,3.9725,-0.1131,-0.0927
2310,KIC-7842033,39,0.0414,0.0369,0.59,5947.6,4.3062,0.0247,0.0357
2311,KIC-7906892,49,0.0263,0.0237,3.93,6131.5,3.9209,-0.1929,-0.1855
2312,KIC-8018599,112,0.0163,0.0138,6.87,5889.2,3.7503,0.2265,0.2965
2313,KIC-7970740,61,0.0209,0.0197,1.20,5252.4,4.5606,-0.4535,-0.5429
2314,KIC-7976303,218,0.0129,0.0080,0.14,6095.3,3.9090,-0.3734,-0.3734
2315,KIC-8027591,34,0.0395,0.0352,3.61,6401.8,4.1103,-0.1581,-0.1539
2316,KIC-8044608,42,0.0312,0.0279,3.02,6137.2,4.3056,-0.0822,-0.0960
2317,KOI-6971,32,0.0423,0.0404,1.48,4812.4,4.5164,-0.1895,-0.2007
2318,KIC-7459173,36,0.0348,0.0370,6.22,5725.2,4.4298,0.1168,0.1609
2319,KIC-8105398,48,0.0255,0.0243,1.72,5962.3,4.1751,-0.0615,-0.0593
2320,KIC-8091757,31,0.0413,0.0423,5.94,6036.8,4.1097,0.2811,0.3162
2321,KIC-7533340,40,0.0404,0.0303,10.15,6196.7,3.9021,0.0442,0.0949
2322,KIC-8233802,36,0.0497,0.0388,3.55,5875.8,4.3900,-0.1685,-0.2184
2323,KIC-8228742,110,0.0154,0.0132,2.89,6042.6,3.9129,-0.0429,-0.0190
2324,KIC-8223197,29,0.0633,0.0646,7.26,5507.9,4.3071,-0.2653,-0.3755
2325,KIC-8179536,50,0.0242,0.0242,7.40,6313.7,4.2426,0.0858,0.1139
2326,KIC-8150065,109,0.0170,0.0118,2.16,6091.4,4.1474,0.0416,0.0556
2327,KIC-8367064,40,0.0363,0.0350,7.02,4744.9,4.3919,0.0794,0.1833
2328,KOI-5546,22,0.0569,0.0516,2.53,6168.4,4.4557,-0.0586,-0.0425
2329,KOI-5567,23,0.0563,0.0555,3.19,5501.6,4.2258,0.0457,0.0247
2330,KIC-8751420,58,0.0213,0.0195,1.64,5242.0,3.7043,-0.0741,-0.0543
2331,KOI-7040,31,0.0521,0.1030,6.69,6183.8,3.7849,-0.2302,-0.2302
2332,KOI-6981,28,0.0561,0.0484,3.76,6008.1,4.6835,-0.2568,-0.3219
2333,KIC-8702606,116,0.0128,0.0126,1.34,5495.1,3.7576,-0.0909,-0.0655
2334,KIC-8651471,30,0.0606,0.0394,7.54,5218.4,4.3294,-0.0182,0.1160
2335,KIC-8644365,51,0.0242,0.0229,2.55,5960.2,4.2403,0.0250,0.0391
2336,KIC-8621739,27,0.0492,0.0435,15.81,6080.4,4.2477,0.2725,0.3730
2337,KIC-8572936,30,0.0842,0.1736,5.18,6270.1,4.6669,-0.2388,-0.3155
2338,KIC-8561221,53,0.0226,0.0216,1.84,5257.7,3.6749,-0.0408,-0.0081
2339,KIC-8556311,32,0.0382,0.0359,5.08,6017.4,4.1322,0.3357,0.3700
2340,KIC-8552719,83,0.0486,0.0415,5.08,5457.3,4.0341,0.0891,0.1230
2341,KIC-8443527,48,0.0254,0.0232,6.36,6141.0,4.3427,-0.0657,-0.0542
2342,KIC-8435766,228,0.0213,0.0101,3.09,5023.3,4.5488,-0.0433,0.0066
2343,KIC-8424992,52,0.0226,0.0219,1.59,5727.3,4.4215,-0.0892,-0.1195
2344,KIC-8311864,51,0.0236,0.0235,1.89,5725.4,4.3580,0.1635,0.1683
2345,KIC-8257205,42,0.0379,0.0295,0.10,5119.9,4.5348,-0.1223,-0.1058
2346,KIC-8817885,40,0.0395,0.0438,8.57,4811.6,3.5513,0.2108,0.3693
2347,KOI-7599,21,0.0700,0.0654,3.05,5624.4,4.5905,0.0939,0.1104
2348,KOI-7136,23,0.0998,0.0514,1.42,5444.6,4.4486,0.2208,0.2061
2349,KIC-8938364,52,0.0232,0.0206,1.83,5763.1,4.2909,-0.1191,-0.1780
