SPOCSNUM,NAME,SNR,LRMS,CRMS,VSINI,TEFF,LOGG,MONH,FEH
2428,KIC-10972873,112,0.0154,0.0109,1.12,5740.0,3.9929,-0.0348,-0.0251
2429,KIC-10935310,17,0.0800,0.0761,12.05,5934.8,4.6887,-0.1100,-0.0847
2430,KIC-10917433,49,0.0238,0.0236,0.81,5767.8,4.3983,-0.0495,-0.0587
2431,KIC-10850420,30,0.0404,0.0380,3.58,5832.3,4.4651,-0.0442,0.0016
2432,KIC-11244118,53,0.0230,0.0210,3.22,5638.5,4.0054,0.2836,0.2973
2433,KIC-11395018,114,0.0157,0.0113,2.94,5595.6,3.8822,0.2611,0.2814
2434,KIC-11716643,35,0.0359,0.0325,1.64,5582.6,4.4615,-0.0820,-0.1307
2435,KIC-11666358,20,0.0674,0.0664,0.01,5013.7,4.5092,0.2317,0.2352
2436,KIC-11656918,39,0.0612,0.0363,2.55,5287.3,4.4724,0.2025,0.2039
2437,KIC-11652870,80,0.0176,0.0152,3.92,5464.2,4.5873,-0.2992,-0.2801
2438,KIC-11615035,27,0.0635,0.0462,0.10,5926.6,4.3665,-0.1497,-0.1515
2439,KIC-11612280,47,0.0268,0.0269,3.09,5871.5,4.1297,0.0881,0.0992
2440,KIC-11554435,51,0.0254,0.0232,5.68,5494.8,4.4887,0.1034,0.1656
2441,KIC-11554100,56,0.0317,0.0244,1.31,4774.9,3.4018,0.3744,0.4262
2442,KIC-11551692,133,0.0271,0.0173,3.83,4852.3,4.5212,0.1242,0.2464
2443,KIC-11414712,57,0.0212,0.0206,3.04,5624.4,3.8686,-0.0349,-0.0131
2444,KIC-11403032,34,0.0398,0.0351,3.27,6528.1,3.9679,0.0910,0.1594
2445,KIC-11717120,233,0.0124,0.0085,0.10,5044.1,3.7233,-0.2422,-0.2853
2446,KIC-11392618,85,0.0192,0.0142,2.16,5746.2,4.1654,0.0185,-0.0136
2447,KIC-11298298,58,0.0210,0.0205,2.25,5909.2,4.4851,0.0352,0.0450
2448,KIC-11241912,51,0.0238,0.0233,0.44,5955.6,4.3833,-0.0372,-0.0305
2449,KOI-5888,26,0.0525,0.0479,1.07,5158.9,4.5455,-0.0900,-0.0708
2450,KOI-5924,19,0.0773,0.0696,2.61,5012.9,4.3880,-0.0268,0.0207
2451,Kepler-68 A,245,0.0107,0.0088,0.61,5811.4,4.2574,0.1143,0.1127
2452,KIC-11771760,111,0.0171,0.0121,2.05,5770.2,3.7074,0.0206,0.0458
2453,KIC-11769146,42,0.0392,0.0334,8.99,5796.2,4.8154,-0.0858,-0.1114
2454,KIC-11764567,28,0.0512,0.0609,18.23,5534.8,3.5704,-0.1621,-0.0636
2455,KIC-11923629,34,0.0373,0.0344,3.57,6137.8,4.1672,0.0055,0.0168
2456,KOI-5932,21,0.0690,0.0650,1.95,5460.5,4.0275,-0.1921,-0.1709
2457,KIC-11875511,40,0.0381,0.0328,3.90,4795.2,4.2402,0.2458,0.3283
2458,KIC-12109550,32,0.0410,0.0359,9.96,5707.7,4.5127,-0.1976,-0.1365
2459,KIC-12258514,113,0.0141,0.0131,1.89,5964.4,4.0739,0.0650,0.0840
2460,KIC-12266582,28,0.0457,0.0420,6.39,5504.1,4.6039,-0.0998,-0.0553
2461,KIC-12069127,108,0.0196,0.0114,0.10,6189.2,3.8751,0.1457,0.2013
2462,KIC-12009504,109,0.0142,0.0120,5.94,6160.4,4.2037,0.0191,0.0358
2463,KIC-11968749,54,0.0245,0.0226,1.04,4959.6,3.3707,0.1139,0.1355
2464,KIC-12255108,33,0.0429,0.0365,5.66,6773.7,3.4635,0.1760,0.3651
2465,KIC-12316126,55,0.0330,0.0228,0.10,4710.9,2.8598,0.2149,0.2766
2466,KIC-12317678,53,0.0253,0.0228,0.10,6663.9,4.1509,-0.1731,-0.1562
2467,KIC-12307366,56,0.0271,0.0224,1.49,4946.3,3.4456,0.2709,0.3087
2468,KIC-12737015,48,0.0259,0.0238,5.22,5902.0,3.8816,0.1678,0.2135
2469,KIC-12735740,86,0.0151,0.0139,1.26,5726.5,4.5415,-0.0692,-0.0653
2470,KIC-12508433,54,0.0238,0.0210,1.68,5198.6,3.7216,0.2248,0.2400
2471,HTR115-003,130,0.0144,0.0119,11.34,6135.3,4.0796,0.1721,0.2169
2472,HATS579-042,47,0.0617,0.1890,2.05,5689.1,4.3958,0.1750,0.1465
2473,HD 7931,268,0.0205,0.0099,1.24,4796.7,3.1810,0.1385,0.1667
2474,HTR389-004,112,0.0159,0.0121,8.79,6076.6,4.2727,0.1176,0.1598
2475,HTR341-013,90,0.0244,0.0141,6.68,6103.8,3.7332,-0.0268,0.0267
2476,HTR341-004,127,0.0280,0.0116,8.16,5982.0,4.4508,0.1805,0.2251
2477,HTR294-009,236,0.0125,0.0085,6.24,6044.3,4.0476,-0.2194,-0.2206
2478,KIC-8394589,50,0.0252,0.0224,3.33,6180.3,4.3021,-0.2137,-0.2146
2479,KIC-8524425,53,0.0221,0.0206,1.94,5595.8,3.9764,0.1225,0.1389
2480,KIC-9491832,51,0.0256,0.0241,4.23,5858.9,4.0393,0.3673,0.3792
2481,HATS580-019,31,0.0394,0.0387,2.03,5797.5,4.3024,0.1882,0.1802
2482,HIP 6339,269,0.0174,0.0109,2.00,5029.0,4.5501,0.0881,0.1327
2483,HD 8250,270,0.0174,0.0097,1.38,4926.2,3.2958,0.1445,0.1834
2484,HD 8407,256,0.0143,0.0081,1.92,4922.8,3.0477,-0.1507,-0.1246
2485,HD 8389,336,0.0165,0.0103,1.84,5224.2,4.3051,0.4206,0.4399
2486,HD 8375,268,0.0127,0.0082,0.84,5207.0,3.6637,0.0298,0.0178
2487,HTR294-003,90,0.0228,0.0175,2.57,6132.5,4.4029,0.0529,0.0464
2488,HTR248-002,217,0.0125,0.0084,0.99,5248.2,4.4747,0.0353,0.0264
2489,HD 8467,256,0.0110,0.0078,1.05,5273.6,4.5443,-0.1584,-0.1582
2490,HD 8508,266,0.0223,0.0107,4.03,4777.2,2.8174,-0.0472,-0.0534
2491,HD 8553,384,0.0142,0.0086,2.07,5053.6,4.4764,-0.0141,-0.0069
2492,HD 8594,272,0.0205,0.0103,1.62,4799.8,3.0664,0.0974,0.1450
2493,HD 8828,252,0.0102,0.0073,0.10,5376.8,4.4845,-0.1417,-0.1527
2494,EPIC206439513,48,0.0289,0.0248,0.10,6290.1,3.8221,-0.1630,-0.1370
2495,EPIC206432863,30,0.0417,0.0396,5.37,5759.3,4.1578,0.0204,0.0448
2496,EPIC206348688,50,0.0248,0.0226,4.50,5921.8,4.1203,0.1544,0.1660
2497,EPIC206268299,45,0.0283,0.0265,2.76,5990.4,4.3450,-0.2320,-0.2378
2498,EPIC206247743,96,0.0236,0.0160,0.10,4911.6,3.5779,0.3922,0.4292
2499,EPIC206245553,49,0.0330,0.0249,1.34,5865.9,4.4089,0.0308,0.0321
2500,HTR205-23,244,0.0098,0.0081,2.79,5964.6,4.3172,0.1556,0.1647
2501,HTR205-22,261,0.0113,0.0081,6.56,6067.7,4.1222,0.1326,0.1623
2502,HTR160-016,166,0.0147,0.0139,16.09,6439.6,4.0771,0.0529,0.1226
2503,HTR159-015,136,0.0128,0.0096,4.23,5992.5,4.3145,-0.1323,-0.1177
2504,HTR159-019,166,0.0139,0.0103,6.18,6069.6,3.9705,0.1832,0.2403
2505,EPIC206181769,46,0.0293,0.0272,1.68,5096.9,4.5039,0.0947,0.1317
2506,EPIC206154641,49,0.0249,0.0228,4.03,5991.4,4.2423,0.1674,0.1910
2507,EPIC206101302,50,0.0237,0.0219,1.00,5854.8,4.2916,-0.0785,-0.0687
2508,EPIC206044803,43,0.0282,0.0269,1.56,5748.8,4.3770,0.0352,0.0295
2509,EPIC206038483,45,0.0277,0.0265,1.85,5630.0,4.1608,0.1847,0.1797
2510,EPIC206036749,25,0.0508,0.0518,2.21,5435.9,4.2888,0.2846,0.3071
2511,EPIC206026904,54,0.0261,0.0220,1.74,5078.1,4.5406,0.2113,0.2609
2512,EPIC206011496,88,0.0158,0.0139,1.66,5429.6,4.4785,0.0529,0.0561
2513,EPIC206024342,24,0.0584,0.0533,1.64,5542.6,4.4538,-0.3451,-0.3658
2514,EPIC205944181,51,0.0254,0.0236,0.35,5187.2,4.4825,0.0076,-0.0380
2515,HD 9218,268,0.0174,0.0087,1.76,4810.0,3.0215,-0.0194,0.0005
2516,HD 9156,265,0.0189,0.0092,2.90,4972.3,2.9000,0.0144,0.0892
2517,HD 9313,263,0.0180,0.0105,1.58,4919.5,3.4325,0.0674,0.0832
2518,WASP-234318,169,0.0219,0.0116,2.04,5066.4,4.4792,0.2299,0.2655
2519,HTR161-015,89,0.0226,0.0158,1.73,5689.4,4.3995,0.1584,0.1572
2520,HTR161-014,92,0.0228,0.0144,0.44,6087.6,4.3852,-0.1463,-0.1847
2521,HTR056-003,115,0.0217,0.0128,2.85,6081.2,4.4198,-0.0941,-0.1067
2522,HATS586-004,29,0.0443,0.0426,2.53,5559.5,4.3729,0.1505,0.1511
2523,HD 9554,262,0.0216,0.0098,3.51,4839.7,2.8134,-0.0846,-0.0726
2524,HD 9446,202,0.0097,0.0080,3.18,5779.5,4.4874,0.0847,0.1026
2525,HD 9625,261,0.0205,0.0102,2.23,4945.6,2.8944,0.0853,0.1609
2526,HD 9518 A,237,0.0140,0.0091,7.80,6153.0,3.9390,0.1176,0.1784
2527,WASP18,152,0.0141,0.0107,11.00,6226.4,4.1651,0.1048,0.1558
2528,HD 10011,254,0.0128,0.0077,1.78,5025.5,3.2763,-0.0819,-0.0552
2529,HD 10008,251,0.0149,0.0092,2.06,5291.2,4.5308,-0.0467,0.0086
2530,HD 10015,361,0.0141,0.0085,1.40,5270.9,4.3823,0.2454,0.2643
2531,HD 10013,345,0.0104,0.0073,1.39,5467.8,4.4333,0.0532,0.0641
2532,HIP 7830,263,0.0147,0.0088,2.66,5101.3,4.5010,0.0336,0.0861
2533,HD 10212,260,0.0148,0.0087,2.11,4907.7,3.1379,-0.0455,-0.0212
2534,HD 10383,267,0.0219,0.0119,1.48,4865.0,3.2133,0.2728,0.2968
2535,HD 10307,199,0.0090,0.0080,2.22,5870.0,4.3309,0.0532,0.0524
2536,HD 10442,260,0.0164,0.0087,1.58,4912.4,3.1882,0.0637,0.0984
2537,HD 10479,257,0.0202,0.0083,2.23,4906.3,2.7579,-0.1040,-0.0405
2538,HD 10823,252,0.0121,0.0076,1.60,5097.8,3.4372,-0.1091,-0.0861
2539,HD 10909,262,0.0188,0.0093,4.35,4748.6,3.1940,-0.2170,-0.2250
2540,HD 10995,250,0.0117,0.0082,4.93,5688.3,3.6707,0.0598,0.0951
2541,HD 11131,390,0.0113,0.0080,2.12,5845.1,4.5291,-0.0446,-0.0186
2542,HD 10790,379,0.0128,0.0103,2.36,5339.3,4.2830,0.2890,0.3008
2543,HD 11288,255,0.0142,0.0082,5.50,5199.8,3.4488,0.0872,0.1671
2544,HD 11506,240,0.0129,0.0095,4.90,6030.9,4.2775,0.3142,0.3352
2545,HD 11373,259,0.0223,0.0154,2.13,4756.3,4.4624,0.0280,0.1093
2546,BD+37 412,96,0.0245,0.0153,2.77,4927.6,2.8858,0.0975,0.1950
2547,BD+36 350,95,0.0238,0.0160,1.97,4934.1,2.8972,0.0892,0.1775
2548,BD+37 424,126,0.0371,0.0138,2.67,4915.9,2.8618,0.0906,0.1918
2549,HD 12039,246,0.0178,0.0117,15.87,5777.8,4.4834,-0.0157,0.0568
2550,HD 11970,251,0.0112,0.0080,1.46,5084.2,3.4386,-0.2122,-0.2055
2551,BD+37 441,72,0.0223,0.0167,3.16,5048.3,3.0798,0.0794,0.1606
2552,HD 12164,246,0.0120,0.0078,2.18,5392.7,3.4804,-0.0908,-0.0618
2553,HD 12137,262,0.0172,0.0090,2.32,4929.6,3.1303,0.0949,0.1448
2554,HD 12484,383,0.0156,0.0083,8.62,5835.2,4.5018,0.0883,0.1446
2555,HD 12974,270,0.0180,0.0093,1.79,4856.9,3.0608,0.0521,0.1023
2556,HD 13167,244,0.0117,0.0075,3.17,5671.8,3.7213,0.1888,0.2281
2557,HD 13382,307,0.0097,0.0078,2.77,5786.8,4.4943,0.1699,0.1974
2558,HD 13483,371,0.0102,0.0082,2.47,5307.5,4.5396,-0.1589,-0.1454
2559,HIP 10416,216,0.0247,0.0166,2.31,4741.1,4.4961,0.0838,0.1748
2560,HD 13747,268,0.0169,0.0088,0.90,4911.0,3.1951,0.0878,0.1275
2561,HD 13836,364,0.0103,0.0087,1.97,5592.6,4.4960,0.0465,0.0779
2562,HD 13871,252,0.0161,0.0105,7.95,6416.2,4.0271,0.2087,0.2733
2563,HD 14214,259,0.0154,0.0079,1.46,6004.6,4.1414,0.1833,0.1974
2564,HD 14655,310,0.0110,0.0076,3.89,5754.8,3.9181,0.1029,0.1172
2565,HIP 11000,177,0.0250,0.0184,2.76,4709.3,4.4676,0.1038,0.2182
2566,HD 14651,368,0.0093,0.0072,1.91,5469.0,4.4631,-0.0376,-0.0407
2567,HD 14787,262,0.0148,0.0082,1.38,4946.1,3.2341,-0.0021,0.0328
2568,HD 14855,263,0.0137,0.0082,0.53,5023.0,3.4292,-0.0033,0.0250
2569,HD 15336,249,0.0160,0.0079,3.14,5025.1,3.1229,-0.1793,-0.1576
2570,HD 15391,254,0.0164,0.0076,0.69,4869.7,2.8478,-0.3013,-0.2916
2571,HD 15928,247,0.0102,0.0079,1.74,5306.7,3.6337,-0.2279,-0.2089
2572,HD 16297,318,0.0103,0.0071,1.79,5394.8,4.5128,-0.0108,0.0106
2573,HD 16178,268,0.0209,0.0094,1.97,4985.1,2.9167,0.0795,0.1455
2574,HD 16175,249,0.0133,0.0089,4.72,5902.3,4.0633,0.3089,0.3265
2575,HD 16559,265,0.0143,0.0088,0.60,4983.9,3.3475,-0.0295,-0.0106
2576,HD 16760,342,0.0177,0.0077,0.10,5593.5,4.5157,-0.0533,-0.0289
2577,HD 16702,244,0.0123,0.0086,0.10,5904.3,4.5446,-0.1029,-0.0788
2578,HD 16984,260,0.0149,0.0078,1.02,4863.8,3.2158,-0.0755,-0.0613
2579,HD 17354,450,0.0127,0.0109,3.23,5836.7,4.1217,0.3937,0.3901
2580,HD 17311,253,0.0133,0.0084,1.03,4980.4,3.3282,-0.0491,-0.0228
2581,HD 17382,377,0.0118,0.0085,3.24,5253.2,4.4935,0.0300,0.0818
2582,HD 17620,250,0.0115,0.0075,2.95,5158.9,3.4621,-0.1174,-0.0769
2583,HD 17156,265,0.0121,0.0075,4.17,5969.9,4.1475,0.2037,0.2176
2584,HD 18015,244,0.0127,0.0078,3.92,5603.3,3.6440,-0.1076,-0.0786
2585,HD 18645,248,0.0142,0.0099,10.19,5458.5,3.5301,0.0403,0.1362
2586,HD 18667,261,0.0162,0.0085,1.60,4855.5,3.0810,-0.0299,-0.0125
2587,HD 18742,257,0.0152,0.0077,2.03,4941.0,3.0924,-0.0470,-0.0195
2588,HD 18702,483,0.0143,0.0132,1.52,5260.0,4.3834,0.1585,0.1829
2589,HIP 14113,269,0.0100,0.0084,2.13,5752.0,4.2762,0.2884,0.2780
2590,HD 19019,352,0.0098,0.0084,2.47,6096.6,4.4340,-0.0313,-0.0098
2591,HD 18916,357,0.0094,0.0078,0.93,5663.5,4.5259,-0.2207,-0.2332
2592,HD 19522,249,0.0100,0.0073,0.10,5531.9,3.8059,-0.1201,-0.1105
2593,HD 19659,272,0.0112,0.0081,4.94,5688.8,3.7160,0.0952,0.1475
2594,WASP-11,276,0.0206,0.0131,0.90,4926.4,4.4840,0.1853,0.2336
2595,HD 19668,370,0.0179,0.0080,7.04,5436.4,4.5064,-0.0480,0.0112
2596,HD 19618,226,0.0131,0.0095,1.47,5348.3,4.4578,0.2014,0.2275
2597,HD 19617,244,0.0105,0.0084,1.57,5694.3,4.3530,0.1394,0.1464
2598,HIP 14810,272,0.0118,0.0098,1.41,5544.6,4.3700,0.2344,0.2353
2599,HD 20155,473,0.0115,0.0094,3.25,5995.3,4.1213,0.2341,0.2501
2600,HD 20439,241,0.0128,0.0087,6.25,5959.3,4.4641,0.2774,0.3174
2601,HD 20367,242,0.0136,0.0088,0.10,6093.9,4.4556,0.1381,0.1650
2602,HD 20618,275,0.0141,0.0085,1.80,5044.0,3.2110,-0.0876,-0.0492
2603,HD 21340,264,0.0163,0.0088,1.76,4908.9,3.0732,0.0043,0.0266
2604,HD 21742,378,0.0131,0.0097,2.02,5256.7,4.3983,0.2425,0.2598
2605,HD 22233,258,0.0156,0.0083,3.23,5072.7,3.1101,0.0125,0.0784
2606,HD 22657,266,0.0183,0.0093,1.13,4792.2,3.1127,0.0520,0.0712
2607,HD 22682,265,0.0138,0.0082,0.80,5023.4,3.3525,0.0042,0.0359
2608,HD 23134,261,0.0162,0.0087,0.42,4865.5,3.2691,0.0507,0.0916
2609,HD 22844,256,0.0130,0.0093,1.94,5191.1,3.6617,0.1888,0.2367
2610,HII 263,196,0.0236,0.0106,9.38,5428.6,4.4598,0.0500,0.1332
2611,HII 296,195,0.0261,0.0156,16.07,5268.6,4.3216,0.0140,0.1291
2612,HII 746,123,0.0162,0.0124,5.31,5504.4,4.5076,0.0126,0.0648
2613,HII 1220,160,0.0187,0.0121,5.97,5235.1,4.4596,-0.0098,0.0621
2614,HD 23825,249,0.0115,0.0079,3.97,5588.0,3.7445,0.1152,0.1412
2615,HD 24148,257,0.0164,0.0085,1.94,4886.0,3.0415,-0.0199,0.0170
2616,HD 24316,262,0.0188,0.0092,0.10,4758.0,2.9240,-0.0251,0.0065
2617,HD 24505,251,0.0113,0.0090,2.01,5688.7,4.0952,0.0910,0.0662
2618,HD 25311,288,0.0122,0.0094,6.53,6185.5,4.0765,0.1907,0.2416
2619,HD 25457,356,0.0145,0.0133,17.82,6221.8,4.3908,0.0964,0.1628
2620,HD 25622,255,0.0159,0.0086,2.41,4958.2,3.0923,0.0025,0.0505
2621,HD 26007,261,0.0179,0.0088,0.06,4777.5,2.8087,-0.1542,-0.1324
2622,HD 25893,191,0.0130,0.0093,6.21,5310.5,4.4547,0.1201,0.1896
2623,HD 25975,278,0.0168,0.0094,0.10,4979.6,3.4460,0.1580,0.1926
2624,HD 26257,449,0.0114,0.0092,5.31,6192.3,4.3144,0.1951,0.2051
2625,HD 26161,173,0.0335,0.0279,3.09,6033.1,4.1495,-0.0032,-0.0109
2626,HD 26140,179,0.0160,0.0098,0.10,4943.1,3.4310,-0.2857,-0.3579
2627,HD 26634,256,0.0144,0.0083,1.80,4902.4,3.0301,-0.1539,-0.1379
2628,HD 26736,282,0.0113,0.0083,6.07,5830.7,4.4832,0.1751,0.2124
2629,HD 27297,254,0.0121,0.0079,1.64,5113.5,3.4706,-0.0034,0.0159
2630,HD 27530,357,0.0090,0.0075,2.77,5935.2,4.3721,0.2223,0.2332
2631,HIP 20218,163,0.0113,0.0101,3.35,5748.5,4.5062,-0.0254,-0.0083
2632,HD 27496,284,0.0115,0.0090,2.65,5561.2,4.1016,0.3293,0.3339
2633,XO-3,185,0.0146,0.0128,16.19,6673.1,4.1484,-0.0442,0.0235
2634,HD 27732,248,0.0106,0.0080,4.35,5498.4,4.4890,0.1018,0.1433
2635,HD 27956,258,0.0162,0.0081,1.70,4824.7,3.0402,-0.0897,-0.0789
2636,HD 27859,241,0.0122,0.0094,6.32,6013.2,4.4738,0.1731,0.2062
2637,HD 28185,254,0.0101,0.0077,2.16,5615.7,4.3373,0.1771,0.1675
2638,HD 28099,240,0.0111,0.0083,3.46,5804.7,4.4994,0.1658,0.1957
2639,HD 28237,161,0.0135,0.0105,8.98,6140.9,4.4268,0.1891,0.2299
2640,HD 28678,266,0.0155,0.0161,2.07,4972.2,3.0588,-0.0990,-0.0605
2641,HIP 21276,146,0.0150,0.0113,5.31,5421.7,4.5283,-0.1233,-0.0763
2642,HD 30128,262,0.0203,0.0097,2.91,4978.6,3.1128,0.2254,0.3018
2643,HD 30166,264,0.0197,0.0100,0.10,4773.2,2.9490,0.0033,0.0347
2644,HD 30856,259,0.0152,0.0084,1.37,4895.3,3.2038,-0.0272,-0.0150
2645,HD 31018,325,0.0112,0.0081,3.86,5819.7,3.8247,0.1577,0.1903
2646,HD 30882,267,0.0186,0.0092,0.85,4780.5,3.0002,-0.0334,-0.0061
2647,HD 31392,261,0.0108,0.0073,2.26,5355.3,4.5035,0.0543,0.0735
2648,HD 31423,244,0.0173,0.0135,7.84,6603.2,3.9427,0.0410,0.1138
2649,HD 31543,247,0.0207,0.0115,7.97,5419.0,3.6021,0.0047,0.0499
2650,HD 31451,262,0.0149,0.0083,0.70,4921.2,3.3363,-0.0053,0.0004
2651,HD 31664,273,0.0170,0.0093,1.72,4941.8,3.1516,0.0791,0.1277
2652,HD 32850,208,0.0118,0.0083,2.50,5248.4,4.5329,-0.1522,-0.1325
2653,HD 33142,235,0.0213,0.0173,1.22,4978.1,3.4047,0.0881,0.1208
2654,HD 33283,298,0.0118,0.0083,3.77,5935.7,4.0579,0.3375,0.3508
2655,HD 33334,283,0.0098,0.0084,0.08,5715.7,4.3949,0.0481,0.0407
2656,HD 33298,250,0.0100,0.0070,0.66,5343.2,3.6442,-0.1741,-0.1644
2657,HD 33822,283,0.0095,0.0082,2.57,5681.8,4.2026,0.2418,0.2417
2658,HD 34538,270,0.0146,0.0070,1.72,4859.1,3.0580,-0.1750,-0.1816
2659,HD 34909,260,0.0158,0.0090,2.17,4970.3,3.1505,0.0421,0.0925
2660,HD 34957,287,0.0138,0.0087,4.37,5880.6,4.4758,-0.1616,-0.1620
2661,HD 35112,221,0.0177,0.0111,2.20,4894.6,4.4582,-0.0868,-0.0786
2662,HD 34887,360,0.0111,0.0103,1.74,5535.1,4.3119,0.3069,0.3181
2663,HD 244992,222,0.0103,0.0086,3.31,5903.3,4.5145,-0.0053,0.0205
2664,HD 36130,276,0.0157,0.0076,0.10,5940.8,4.2931,0.1545,0.1524
2665,HD 37445,271,0.0222,0.0087,2.03,4863.7,2.7692,-0.0026,0.0673
2666,HD 37605,228,0.0131,0.0102,1.58,5329.2,4.3645,0.2468,0.2674
2667,HD 37986,291,0.0116,0.0091,1.54,5475.2,4.2940,0.2510,0.2600
2668,HD 37601,274,0.0169,0.0086,1.76,4931.4,3.2191,0.1005,0.1487
2669,HD 38467,281,0.0098,0.0083,2.21,5753.4,4.1533,0.2424,0.2431
2670,HD 38505,259,0.0153,0.0087,1.03,4960.3,3.4345,0.1446,0.1696
2671,HD 38801,229,0.0135,0.0092,1.02,5207.4,3.7729,0.2755,0.3231
2672,HD 39094,226,0.0115,0.0084,0.10,5431.8,3.9452,0.2179,0.2352
2673,HD 39731,259,0.0179,0.0089,3.33,5120.5,3.0848,0.0753,0.1506
2674,HD 39828,262,0.0174,0.0091,1.53,4869.8,3.0979,0.0879,0.1243
2675,HD 40537,268,0.0123,0.0078,1.75,4962.0,3.4473,-0.0828,-0.0866
2676,HD 41700,275,0.0127,0.0099,16.13,6180.8,4.3745,0.0233,0.0802
2677,HD 40647,315,0.0103,0.0074,2.95,5314.6,4.5275,-0.1082,-0.0779
2678,HD 42807,180,0.0114,0.0094,4.27,5730.1,4.5214,-0.0314,0.0071
2679,HD 43162,397,0.0112,0.0080,6.16,5617.4,4.5465,-0.0314,0.0154
2680,HD 43691,212,0.0122,0.0089,3.58,6094.0,4.1559,0.3000,0.3302
2681,HIP 30220,270,0.0155,0.0095,2.26,5070.2,4.4449,0.0646,0.0851
2682,HD 45210,275,0.0112,0.0074,7.55,5657.9,3.7436,-0.0419,0.0045
2683,HD 45506,265,0.0146,0.0080,1.53,5051.3,3.2855,0.0526,0.0829
2684,HD 45652,264,0.0130,0.0087,1.89,5294.5,4.3739,0.2404,0.2557
2685,HIP 31014,245,0.0132,0.0104,0.04,5869.3,4.4001,-0.3206,-0.3770
2686,WASP-12,153,0.0163,0.0111,0.10,6154.0,4.2192,0.2126,0.2204
2687,HD 45410,269,0.0148,0.0080,1.54,4938.0,3.1880,-0.0123,0.0142
2688,HD 47186,250,0.0096,0.0075,2.18,5641.2,4.3339,0.1982,0.1956
2689,HD 47562,256,0.0150,0.0072,2.45,4976.4,3.1713,-0.2004,-0.1900
2690,HD 48345,270,0.0162,0.0091,1.73,4992.5,3.3234,0.1492,0.2032
2691,CoRoT-7,91,0.0160,0.0137,2.32,5256.1,4.4916,0.0589,0.0880
2692,HD 263175,277,0.0205,0.0116,0.46,4776.6,4.5261,-0.2246,-0.2193
2693,HD 46588,242,0.0103,0.0072,3.65,6145.9,4.3011,-0.0414,-0.0268
2694,COROT1,66,0.0197,0.0182,1.75,6243.5,4.3103,0.0299,0.0404
2695,HD 49933,237,0.0121,0.0085,0.10,6674.1,4.2681,-0.2665,-0.2610
2696,HIP 32892,249,0.0113,0.0085,2.48,5717.6,4.1201,0.2553,0.2566
2697,HD 50275,264,0.0178,0.0087,1.75,4898.0,3.1287,0.1318,0.1839
2698,HD 51272,264,0.0183,0.0094,2.60,4870.4,3.0755,0.1133,0.1605
2699,HD 51046,328,0.0088,0.0067,0.10,5646.3,4.4707,-0.0113,-0.0118
2700,HD 53532,221,0.0105,0.0084,5.32,5670.6,4.5120,0.0949,0.1369
2701,HD 53927,269,0.0177,0.0095,0.10,4898.8,4.5587,-0.2597,-0.2877
2702,HD 55696,243,0.0134,0.0078,6.85,6012.7,4.1479,0.3472,0.3666
2703,HIP 35093,246,0.0128,0.0088,0.60,5747.4,3.9570,-0.1490,-0.1346
2704,HD 56083,267,0.0214,0.0096,2.60,4994.9,2.9988,0.2011,0.2889
2705,HD 55575,311,0.0105,0.0074,0.10,5889.0,4.3180,-0.2656,-0.2906
2706,HD 55647,251,0.0108,0.0080,0.10,5617.5,4.4621,0.0508,0.0518
2707,HD 56122,272,0.0211,0.0100,3.60,5016.1,3.1015,0.2408,0.3116
2708,HAT-P-9,81,0.0260,0.0147,10.72,6193.9,4.2478,0.0783,0.1399
2709,XO-4,197,0.0127,0.0088,6.64,6304.8,4.1425,-0.0265,0.0080
2710,HD 57204,231,0.0141,0.0088,1.96,5096.9,3.5245,0.1515,0.2119
2711,HD 57813,230,0.0126,0.0083,1.58,5279.8,4.4160,0.1853,0.2067
2712,HD 58727,225,0.0118,0.0085,1.87,5379.0,4.4532,0.2000,0.2132
2713,HD 60234,248,0.0130,0.0091,7.32,5842.3,3.7431,0.1240,0.1751
2714,HD 61005,246,0.0176,0.0091,9.14,5504.0,4.5075,0.0080,0.0760
2715,HD 60737,246,0.0154,0.0115,10.77,5949.0,4.5380,0.0179,0.0686
2716,HD 61995,265,0.0137,0.0081,0.92,4989.3,3.2631,-0.0669,-0.0450
2717,HD 62068,270,0.0187,0.0094,1.27,4830.7,3.0895,0.0454,0.0699
2718,HD 61994,382,0.0149,0.0125,3.18,5781.0,4.5292,0.0903,0.0924
2719,XO-2,121,0.0170,0.0132,2.22,5267.1,4.2896,0.3807,0.4122
2720,HIP 38340,296,0.0102,0.0070,3.76,5900.6,4.4878,-0.0572,-0.0410
2721,HD 64413,261,0.0211,0.0081,3.34,4906.4,2.6953,-0.2228,-0.1535
2722,HD 64324,279,0.0096,0.0071,2.02,5746.6,4.5104,-0.0277,-0.0067
2723,HD 64730,255,0.0185,0.0095,4.82,5168.6,3.4792,-0.0437,-0.0071
2724,HD 62613,372,0.0086,0.0062,0.36,5493.4,4.4972,-0.1167,-0.1129
2725,HD 69076,283,0.0093,0.0079,0.89,5417.8,4.5709,-0.2942,-0.3121
2726,HD 69960,286,0.0095,0.0083,2.47,5600.0,4.0637,0.2608,0.2794
2727,HD 70573,246,0.0172,0.0101,13.93,5860.8,4.4965,0.0145,0.0826
2728,HD 70516,284,0.0155,0.0088,12.61,5785.6,4.4810,0.0965,0.1633
