      Star      Teff     eTeff    Radius   eRadius       FeH
      GJ887      3676        35   0.47120   0.00860     -0.19
   HD115617	 	 5538	 	 13	  0.98670	0.00480		 0.01
   HD143761	 	 5627	 	 54	  1.36170	0.02620		-0.22
      GJ176	 	 3679		 77	  0.45250	0.02210		 0.15
      GJ614	 	 5518		102	  0.86680	0.03240		 0.44
      GJ649	 	 3590		 45	  0.53870	0.01570		-0.04
      GJ876	 	 3129		 19	  0.37610	0.00590		 0.19
     HD1461	 	 5386		 60	  1.24410	0.03050		 0.16
     HD7924	 	 5075		 83	  0.78210	0.02580		-0.14
    HD33564	 	 6420 		 50	  1.43670	0.02380		 0.08
   HD107383	 	 4705 		 24	  15.78100	0.34440		-0.30
   HD210702	 	 4780	 	 18	  5.23140	0.11710	 	 0.03
